"Data Source","World Development Indicators",

"Last Updated Date","2023-10-26",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Burundi","BDI","International tourism, receipts for passenger transport items (current US$)","ST.INT.TRNR.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1024994.25411224","941381.15644455","840071.797370911","899999.976158142","500000","600000.023841858","400000.005960464","500000","500000","600000.023841858","400000.005960464","300000.011920929","1000000","300000.011920929","200000.002980232","300000.011920929","1200000.04768372","","","","","","","","","","","",
"Belgium","BEL","International tourism, receipts for passenger transport items (current US$)","ST.INT.TRNR.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1417000000","663000000","655000000","881000000","1036000000","1314000000","1354000000","","1257000000","1287000000","1364000000","1206000000","1150000000","1331000000","1110000000","1136000000","1240000000","1439000000","1681000000","844000000","","",
"Benin","BEN","International tourism, receipts for passenger transport items (current US$)","ST.INT.TRNR.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100000.001490116","200000.002980232","200000.002980232","400000.005960464","400000.005960464","500000","1500000","1899999.97615814","2900000.09536743","4699999.80926514","5599999.90463257","300000.011920929","400000.005960464","400000.005960464","400000.005960464","21000000","4000000","4000000","2000000","7000000","6000000","10000000","13000000","860000.014305115","","","",
"Burkina Faso","BFA","International tourism, receipts for passenger transport items (current US$)","ST.INT.TRNR.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4000000","5000000","12000000","14000000","12000000","1000000","2000000","5000000","20000000","33000000","33000000","41000000","44000000","47000000","48000000","43000000","50000000","55000000","58000000","57000000","","","",
"Bangladesh","BGD","International tourism, receipts for passenger transport items (current US$)","ST.INT.TRNR.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2000000","2000000","9000000","7000000","","","","7000000","22000000","10000000","2000000","2000000","1000000","300000.011920929","300000.011920929","7000000","4000000","3000000","899999.976158142","","",
"Bulgaria","BGR","International tourism, receipts for passenger transport items (current US$)","ST.INT.TRNR.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","189000000","153000000","148000000","184000000","252000000","290000000","268000000","296000000","430000000","594000000","651000000","705000000","468000000","546000000","497000000","464000000","533000000","513000000","581000000","591000000","429000000","511000000","564000000","593000000","545000000","156000000","","",
"Bahrain","BHR","International tourism, receipts for passenger transport items (current US$)","ST.INT.TRNR.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","346000000","326000000","267000000","259000000","267000000","281000000","256000000","245000000","486000000","640000000","683000000","738000000","749000000","761000000","755000000","801000000","731000000","693000000","700000000","705000000","122000000","175000000","135000000","145000000","179000000","51000000","","",
"Bahamas, The","BHS","International tourism, receipts for passenger transport items (current US$)","ST.INT.TRNR.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10000000","11000000","11000000","11000000","15000000","15000000","17000000","13000000","13000000","13000000","10000000","10000000","11000000","11000000","11000000","12000000","15000000","22000000","20000000","20000000","17000000","17000000","21000000","28000000","25000000","5000000","","",
"Bosnia and Herzegovina","BIH","International tourism, receipts for passenger transport items (current US$)","ST.INT.TRNR.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10000000","13000000","13000000","14000000","19000000","27000000","26000000","38000000","51000000","80000000","88000000","79000000","73000000","87000000","71000000","67000000","48000000","42000000","45000000","54000000","51000000","52000000","12000000","","",
"Belarus","BLR","International tourism, receipts for passenger transport items (current US$)","ST.INT.TRNR.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5000000","6000000","15000000","32000000","80000000","95000000","61000000","61000000","72000000","92000000","93000000","115000000","155000000","222000000","193000000","225000000","260000000","301000000","365000000","362000000","284000000","308000000","323500000","338000000","389000000","187000000","","",
"Belize","BLZ","International tourism, receipts for passenger transport items (current US$)","ST.INT.TRNR.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2000000","2000000","2000000","","","","","","","","","","","","","","","","","","","","","","","","",
"Bermuda","BMU","International tourism, receipts for passenger transport items (current US$)","ST.INT.TRNR.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7000000","7000000","8000000","6000000","","","","","","","","",
"Bolivia","BOL","International tourism, receipts for passenger transport items (current US$)","ST.INT.TRNR.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","37000000","39000000","65000000","68000000","37000000","33000000","43000000","43000000","77000000","91000000","106000000","86000000","34000000","27000000","27000000","29000000","119000000","37000000","65000000","82000000","111000000","114000000","125000000","133000000","140000000","52000000","","",
"Brazil","BRA","International tourism, receipts for passenger transport items (current US$)","ST.INT.TRNR.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","113000000","26000000","48000000","81000000","92000000","159000000","113000000","144000000","194000000","167000000","307000000","261000000","331000000","324000000","330000000","261000000","275000000","245000000","310000000","562000000","410000000","589000000","366000000","403000000","132000000","55000000","","",
"Barbados","BRB","International tourism, receipts for passenger transport items (current US$)","ST.INT.TRNR.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8000000","8000000","9000000","9000000","10000000","10000000","9000000","8000000","9000000","9000000","8000000","7000000","7000000","7000000","3000000","3000000","13000000","18000000","19000000","23000000","27000000","33000000","","","","","","",
"Brunei Darussalam","BRN","International tourism, receipts for passenger transport items (current US$)","ST.INT.TRNR.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bhutan","BTN","International tourism, receipts for passenger transport items (current US$)","ST.INT.TRNR.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13000000","19000000","10000000","9000000","24000000","29000000","32000000","33000000","15000000","26000000","47000000","48000000","18000000","","","","",
"Botswana","BWA","International tourism, receipts for passenger transport items (current US$)","ST.INT.TRNR.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14000000","12000000","5000000","4000000","5000000","5000000","5000000","5000000","2000000","1000000","1000000","2000000","2299999.95231628","699999.988079071","600000.023841858","2099999.90463257","3299999.95231628","2599999.90463257","3200000.04768372","1299999.95231628","1299999.95231628","2000000","9999.99977648258","2200000.04768372","7400000.09536743","6000000","","",
"Central African Republic","CAF","International tourism, receipts for passenger transport items (current US$)","ST.INT.TRNR.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1399999.97615814","2200000.04768372","2200000.04768372","2400000.09536743","2799999.95231628","3000000","3400000.09536743","4000000","4000000","4000000","","","","","","","","","",
"Canada","CAN","International tourism, receipts for passenger transport items (current US$)","ST.INT.TRNR.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1259000000","1466000000","1571000000","1635000000","1821000000","2257000000","2057000000","2057000000","1634000000","2106000000","2236000000","2281000000","2357000000","2523000000","1837000000","2610000000","3155000000","","","","","","","","","","","",
"Central Europe and the Baltics","CEB","International tourism, receipts for passenger transport items (current US$)","ST.INT.TRNR.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1035964313.11565","1056709530.9002","1148766434.81911","1240823338.73802","1357515188.77608","1485114527.66887","1489840429.10935","1831286808.18358","2194370686.05484","2712395241.88658","3971449493.91399","4334308548.3939","4983835779.77264","5832000507.42105","4799664444.12549","4127195791.03181","5072519137.23379","4436574340.69791","4969392954.01175","5304841821.27778","4796226134.62663","5333538037.0616","6174634016.93216","7368990308.34837","7823182137.47848","","","",
"Switzerland","CHE","International tourism, receipts for passenger transport items (current US$)","ST.INT.TRNR.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1895000000","1888000000","2091000000","2197000000","2296000000","2492000000","2676000000","1967000000","2003000000","1929000000","2023000000","2177000000","2711000000","3318000000","2683000000","3072000000","3661000000","3573000000","3562000000","3590000000","3211000000","3035000000","3148000000","3300000000","3302000000","956000000","","",
"Channel Islands","CHI","International tourism, receipts for passenger transport items (current US$)","ST.INT.TRNR.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","International tourism, receipts for passenger transport items (current US$)","ST.INT.TRNR.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","275000000","278000000","298000000","326000000","332000000","360000000","385000000","323000000","426000000","476000000","607000000","704000000","771000000","887000000","767000000","810000000","910000000","1008000000","990000000","943000000","931000000","1079000000","984000000","1040000000","1000000000","628000000","","",
"China","CHN","International tourism, receipts for passenger transport items (current US$)","ST.INT.TRNR.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","552000000","627000000","908000000","1087000000","1214000000","1357000000","1301000000","2016000000","","","","","","","","","","","","","","","","","","",
"Cote d'Ivoire","CIV","International tourism, receipts for passenger transport items (current US$)","ST.INT.TRNR.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14000000","14000000","13000000","13000000","7000000","4000000","5000000","5000000","7000000","9000000","10000000","11000000","12000000","13000000","13000000","12000000","6000000","500000","10000000","11000000","56000000","98000000","112000000","108000000","102000000","33200000.7629395","","",
"Cameroon","CMR","International tourism, receipts for passenger transport items (current US$)","ST.INT.TRNR.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","39000000","47000000","35000000","29000000","32000000","75000000","109000000","62000000","84000000","54000000","54000000","50000000","28000000","11000000","1000000","12000000","14000000","28000000","31000000","34000000","26000000","3000000","19000000","52000000","28000000","","","",
"Congo, Dem. Rep.","COD","International tourism, receipts for passenger transport items (current US$)","ST.INT.TRNR.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Congo, Rep.","COG","International tourism, receipts for passenger transport items (current US$)","ST.INT.TRNR.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","669139.981269836","17593.4992730618","","","500000","400000.005960464","600000.023841858","600000.023841858","1000000","1100000.02384186","","","4400000.09536743","5000000","8000000","12000000","9000000","5000000","400000.005960464","1899999.97615814","899999.976158142","1899999.97615814","","","","","","",
"Colombia","COL","International tourism, receipts for passenger transport items (current US$)","ST.INT.TRNR.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","230000000","242000000","272000000","288000000","304000000","283000000","266000000","270000000","298000000","308000000","352000000","455000000","623000000","624000000","640000000","676000000","831000000","949000000","1208000000","1116000000","1036000000","1109000000","978000000","1034000000","1102000000","364000000","","",
"Comoros","COM","International tourism, receipts for passenger transport items (current US$)","ST.INT.TRNR.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","400000.005960464","400000.005960464","400000.005960464","400000.005960464","300000.011920929","200000.002980232","200000.002980232","300000.011920929","","800000.011920929","600000.023841858","500000","600000.023841858","699999.988079071","699999.988079071","500000","","",
"Cabo Verde","CPV","International tourism, receipts for passenger transport items (current US$)","ST.INT.TRNR.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19000000","26000000","35000000","25000000","27000000","23000000","23000000","35000000","48000000","54000000","55000000","71000000","71000000","80000000","63000000","109000000","70000000","58000000","61000000","48000000","33000000","32000000","25000000","32000000","65000000","10000000","","",
"Costa Rica","CRI","International tourism, receipts for passenger transport items (current US$)","ST.INT.TRNR.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","82000000","87000000","118000000","124000000","158000000","175000000","166000000","131000000","131000000","127000000","139000000","158000000","195000000","250000000","186000000","180000000","223000000","244000000","243000000","141000000","142000000","128000000","102000000","304000000","274000000","123000000","","",
"Caribbean small states","CSS","International tourism, receipts for passenger transport items (current US$)","ST.INT.TRNR.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","374090983.387808","368490818.965835","401588796.717257","437996572.243822","471262134.69272","507854253.386507","514507365.876287","523378182.529326","545555224.161925","644645866.917866","497679969.796695","434217423.312553","460938495.516402","478752543.652301","385228790.938829","330673268.522636","290591660.216862","661299712.736504","642289043.376522","650436473.102228","483294009.603698","449730361.616936","476863970.526762","310624573.928032","162237038.612093","","","",
"Cuba","CUB","International tourism, receipts for passenger transport items (current US$)","ST.INT.TRNR.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","137000000","162000000","204000000","203000000","206000000","211000000","148000000","136000000","153000000","199000000","269000000","287000000","274000000","277000000","198000000","209000000","220000000","288000000","283000000","179000000","218000000","162000000","116000000","80000000","49000000","15000000","","",
"Curacao","CUW","International tourism, receipts for passenger transport items (current US$)","ST.INT.TRNR.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2000000","5000000","17000000","53000000","87000000","133000000","195000000","185000000","105000000","71000000","21000000","11000000","3000000","1000000","","",
"Cayman Islands","CYM","International tourism, receipts for passenger transport items (current US$)","ST.INT.TRNR.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","39000000","40000000","45000000","","","",
"Cyprus","CYP","International tourism, receipts for passenger transport items (current US$)","ST.INT.TRNR.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","220044250.488281","223723495.483398","191360610.961914","200303543.09082","204000000","196000000","210000000","219000000","228000000","311000000","326000000","310007629.394531","422000000","452000000","277000000","","","","","","1664250.01621246","","","","","","","",
"Czechia","CZE","International tourism, receipts for passenger transport items (current US$)","ST.INT.TRNR.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","412000000","503000000","744000000","959000000","818000000","860000000","1014000000","923000000","896000000","834000000","718000000","750000000","792000000","710000000","733000000","725000000","837000000","665000000","258000000","","",
