"Data Source","World Development Indicators",

"Last Updated Date","2023-10-26",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Aruba","ABW","International tourism, receipts (% of total exports)","ST.INT.RCPT.XP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","27.8064100047669","26.580602006689","28.5330991327259","38.2133738932044","62.542949184803","46.8159608118255","40.8778743228543","57.6346150879952","48.5861901346822","22.5474119747263","19.1648620308122","17.6577101160954","18.1705976065285","19.1510508989618","35.0418580826917","68.7260034904014","19.7926946439331","44.8110916086024","69.6565387941065","70.6635772843009","68.0718536651856","74.948455559204","80.4572301082854","79.5771871634418","82.3284075874021","74.5867774293884","","",
"Africa Eastern and Southern","AFE","International tourism, receipts (% of total exports)","ST.INT.RCPT.XP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.71909417705078","10.0498933719102","11.0375614048281","12.2583244396438","12.2041144978042","9.68641366976462","10.8405165344513","11.2801585537399","13.6007241245271","12.776029073004","11.1636087808495","10.2888897626249","9.62778815176881","7.84562068377349","9.58860326198026","8.70875503450573","7.97464817987305","8.96605007917773","8.87203779960342","9.59483983916947","10.8674202987414","11.0533919214397","10.6771668457648","10.6597748327413","11.5985600034456","","","",
"Afghanistan","AFG","International tourism, receipts (% of total exports)","ST.INT.RCPT.XP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.0745762932609","4.21685542755338","5.72873546300291","5.39604673507476","7.17088699537353","12.9409894650749","6.09459211041441","6.06787319983375","5.45768303162904","1.38780942154529","3.1066088353063","5.60775255799417","5.08024772390036","","",
"Africa Western and Central","AFW","International tourism, receipts (% of total exports)","ST.INT.RCPT.XP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.66200835068573","4.11212619126523","4.70018763870965","6.85185208941487","3.97447599011214","3.24112327925787","3.73621970322768","4.37621315997186","3.74706020877767","2.98392223401192","2.78159836851538","3.08395498425193","3.1339581482642","2.99441715409875","3.46705734381883","2.50837151944587","2.29272075566423","2.3897519134208","2.56338242491737","2.78048146930358","3.36618107254378","4.8416146827577","5.6181045587129","4.6536132686714","4.22928350885586","","","",
"Angola","AGO","International tourism, receipts (% of total exports)","ST.INT.RCPT.XP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.703902592395036","0.708603698277291","0.466445105241677","1.06420716566158","0.583858020796646","0.415242324428828","0.519532954717508","0.597561939553467","0.648865066910913","0.59429894432281","0.4241085211113","0.272892458912399","0.527882654597269","0.456078040771251","1.33651307818098","1.41103125777036","0.959693701971326","0.989241065215912","1.78401431973214","2.62443332071088","3.40038336206843","2.21909952571216","2.48328311495863","1.3457717330498","1.12279248372064","0.0904570431814326","","",
"Albania","ALB","International tourism, receipts (% of total exports)","ST.INT.RCPT.XP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23.0490615739216","25.207830517565","34.212115113705","43.7541019470575","55.9691912708601","71.7763751127141","68.5202066241264","73.7432177223538","63.4174074272045","60.4888210221976","60.2421079564304","56.5371142509188","60.0147492308715","56.3585203050781","65.7578453770332","53.4846023581548","48.5388972310884","45.6466576233755","45.1322983249897","49.5414964279063","51.9644431232024","52.9379204273761","49.4715628231146","48.195167982947","50.9706230649523","35.9164177962174","","",
"Andorra","AND","International tourism, receipts (% of total exports)","ST.INT.RCPT.XP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","81.8022160839288","","","",
"Arab World","ARB","International tourism, receipts (% of total exports)","ST.INT.RCPT.XP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.0896244626107","","","","6.88303671856152","5.77325309636068","8.60358856012157","8.11012369561344","5.31984099590621","5.4206878182244","5.24701561920255","6.11037854347435","9.38359026074381","10.7372597713143","10.9043886725729","9.4391140872439","11.083538741363","","","",
"United Arab Emirates","ARE","International tourism, receipts (% of total exports)","ST.INT.RCPT.XP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Argentina","ARG","International tourism, receipts (% of total exports)","ST.INT.RCPT.XP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.2178067762251","10.4662293040609","10.1697304887991","10.7275507588501","11.3403716663803","10.228281046268","8.8569652276865","5.90614190572889","6.71598126864478","6.69060360060115","6.84335415200094","7.19990264416667","7.60711607793084","6.46330713288746","6.71585037667957","6.90925985183367","6.20590596025122","6.0054644491997","5.80192954889544","6.89787414276744","7.77035222074166","7.65710936693155","7.86052484120101","7.7764503654143","7.07063914022033","2.64132946574952","","",
