Country,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
China,89013000,97908000,91662000,109038000,120292000,124942000,131873000,130027000,126476000,133762000,135423000,132405000,129078000,128499000,133820000,141774000,153260000,158606000,162538000,30402000
Cote d'Ivoire,,,,,,,182000,205000,231000,252000,270000,289000,380000,471000,1441000,1583000,1800000,1965000,2070000,668000
Cameroon,,,,,,451000,477000,487000,498000,573000,604000,817000,783000,822000,897000,994000,1081000,997000,1021000,
"Congo, Dem. Rep.",55000,28000,35000,36000,61000,55000,47000,50000,53000,81000,186000,167000,191000,334000,354000,351000,,,,
"Congo, Rep.",,,,,,,,,,199000,224000,259000,345000,229000,224000,213000,151000,158000,,
Colombia,788000,661000,668000,840000,981000,2096000,2381000,2545000,2649000,1701000,2356000,2434000,2595000,2866000,3371000,3675000,4056000,4397000,4531000,1396000
Comoros,19399.99962,18899.99962,20600.00038,23299.99924,25899.99962,28500,15199.99981,14800.00019,11300.00019,15300.00019,18799.99924,22799.99924,21899.99962,22799.99924,23600.00038,26799.99924,28000,35900.00153,45099.99847,7000
Cabo Verde,134000,126000,150000,157000,198000,242000,267000,285000,287000,336000,428000,482000,503000,494000,520000,598000,668000,710000,758000,180000
Costa Rica,1320000,1335000,1514000,1771000,1959000,2071000,2302000,2409000,2309000,2495000,2526000,2542000,2641000,2760000,2899000,3204000,3231000,3313000,3366000,1146500
Caribbean small states,10923386.39,11075114.14,12223187.43,13943780.1,13151761.26,13524000,13774000,13494000,14132000,14853000,15421000,15540000,15674000,16644000,17200000,17638000,18488000,19669834.92,19819087.26,
Cuba,1775000,1686000,1906000,2049000,2319000,2221000,2152000,2348000,2430000,2532000,2716000,2847000,2862000,3014000,3540000,4009000,4654000,4712000,4276000,1086000
Curacao,519000,545000,508000,452000,510000,572000,664000,773000,808000,762000,837000,908000,1071000,1129000,1072000,944000,1058000,1210000,1293000,
Cayman Islands,1549000,1878000,2113000,1953000,1967000,2197000,2008000,1856000,1792000,1886000,1710000,1829000,1721000,1993000,2102000,2097000,2147000,2384000,2334000,660000
Cyprus,2841000,2495000,2416000,2478000,2657000,2629000,2671000,2631000,2370000,2450000,2626000,2635000,2626000,2558000,2780000,3286000,3750000,4024000,4117000,
Czechia,,,20108000,23808000,24747000,25102000,22625000,21850000,23285000,21941000,22810000,25750000,26332000,27166000,29604000,32519000,34701000,36268000,37202000,
Germany,17861000,17969000,18399000,20137000,21500000,23569000,24421000,24884000,24220000,26875000,28374000,30411000,31545000,32999000,34970000,35555000,37452000,38881000,39563000,12449000
Djibouti,21600.00038,22500,23200.00076,26299.99924,30200.00076,39500,40000,54000,58000,51000,56000,60000,63000,,,,,,,
Dominica,276000,208000,254000,466000,381000,465000,437000,468000,608000,595000,418000,348000,311000,370000,358000,356000,230000,199000,322000,140000
Denmark,,,21119000,22054000,26927000,26936000,27138000,26870000,26571000,26730000,25811000,26402000,26516000,28070000,28209000,28692000,30736000,30801000,33093000,15595000
Dominican Republic,3090000,3058000,3680000,3907000,3981000,4268000,4365000,4455000,4489000,4478000,4654000,4901000,5114000,5576000,6129000,6769000,7296000,7551000,7550000,2748000
