Country,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Mongolia,192000,235000,205000,305000,345000,408000,455000,469000,465000,557000,627000,624000,515000,506000,467000,471000,543000,598000,637000,66900.00153
Northern Mariana Islands,444000,476000,459000,536000,507000,436000,389000,397000,354000,379000,341000,401000,439000,460000,479000,531000,660000,518000,487000,
Mozambique,404000,943000,726000,711000,954000,1095000,1259000,1439000,1711000,1836000,2013000,2206000,1970000,1751000,1634000,1715000,1514000,2870000,2033000,
Mauritania,,,,,,,,,,,,,,,,,,,,
Mauritius,675000,709000,721000,739000,782000,807000,933000,970000,890000,956000,983000,984000,1015000,1065000,1174000,1307000,1371000,1431000,1418000,316000
Malawi,266000,383000,424000,427000,438000,638000,735000,742000,755000,746000,767000,770000,795000,819000,805000,849000,837000,871000,,
Malaysia,12775000,13292000,10577000,15703000,16431000,17547000,20973000,22052000,23646000,24577000,24714000,25033000,25715000,27437000,25721000,26757000,25948000,25832000,26101000,4333000
North America,118580000,109814000,101468000,106929000,108161000,217203000,206332000,203623000,185758000,188476000,172989421.9,197557890.6,205052906.3,204449359.4,205016531.3,206045484.4,206060750,201364921.9,198713000,
Namibia,700000,799000,739000,986000,856000,961000,1048000,1079000,1100000,1114000,1163000,1245000,1327000,1429000,1488000,1551000,1581000,1639000,1651000,187100.0061
New Caledonia,101000,104000,102000,100000,101000,100000,103000,104000,99000,99000,112000,112000,108000,107000,114000,116000,121000,120000,130000,31000
Niger,52000,39000,55000,57000,58000,60000,48000,73000,66000,74000,82000,94000,123000,135000,135000,152000,164000,157000,192000,85000
Nigeria,1753000,2046000,2253000,2646000,2778000,3056000,5239000,5820000,6053000,6113000,3765000,4673000,4038000,4803000,6017000,5265000,,,,
Nicaragua,584000,579000,646000,735000,804000,891000,978000,1011000,1010000,1071000,1122000,1233000,1273000,1390000,1456000,1596000,1958000,1412000,1455000,474000
Netherlands,9500000,9595000,9181000,9646000,10012000,10739000,11008000,10104000,9921000,10883000,11300000,11680000,12783000,13925000,15007000,15828000,17924000,18780000,20129000,7265000
Norway,3073000,3111000,3269000,3628000,3824000,4070000,4377000,4347000,4346000,4767000,4963000,4538000,4778000,4855000,5361000,5960000,6252000,5688000,5879000,1397000
Nepal,361000,275000,338000,385000,375000,384000,527000,500000,510000,603000,736000,803000,798000,790000,539000,753000,940000,1173000,1197000,230000
Nauru,,,,,,,,,,,,,,,,,,,,
New Zealand,1909000,2045000,2104000,2334000,2366000,2409000,2455000,2483000,2473000,2530000,2617000,2574000,2710000,2854000,3129000,3494000,3723000,3858000,3888000,996000
OECD members,857416270.4,845244937.7,829225858.8,883810873.6,917093718.8,1057049131,1057756515,1052020401,1012277275,1023509319,1038728159,1089410317,1129790906,1163739359,1200190531,1244329484,1299260750,1331200523,1364524986,
Oman,1095000,1112000,1210000,1407000,1101000,1385000,1360000,1540000,1584000,1500000,1393000,1714000,1923000,2225000,2634000,3207000,3178000,3242000,3506000,869000
Other small states,22699583.12,23251643.31,23525106.49,25484888.27,25761318.53,27999916.15,30898966.04,32780642.47,32486504.56,37843566.16,33747412.99,36199883.01,39516963.6,42941757.49,43653648.12,46851127.1,49979552.76,51524462.84,51930012.47,
Pakistan,500000,498000,501000,648000,798000,898000,840000,823000,855000,907000,1161000,966000,,,,,,,,
Panama,737000,800000,897000,1004000,1070000,1215000,1428000,1575000,1562000,1726000,2004000,2086000,2202000,2305000,2553000,2379000,2517000,2487000,2494000,647000
Peru,,,,1650000,1938000,2227000,2451000,2581000,2681000,2948000,3299000,3642000,4010000,4062000,4381000,4718000,4992000,5384000,5275000,1119000
Philippines,1797000,1933000,1907000,2291000,2623000,2843000,3092000,3139000,3017000,3520000,3917000,4273000,4681000,4833000,5361000,5967000,6621000,7168000,8261000,1483000
Palau,54000,59000,63000,89000,81000,82000,88000,81000,71000,85000,111000,120000,108000,140000,162000,138000,123000,106000,94000,18399.99962
Papua New Guinea,,,,,,,,120000,126000,146000,165000,175000,182000,191000,199000,198000,182000,195000,211000,39000
Poland,61431000,50735000,52130000,61918000,64606000,65115000,66208000,59935000,53840000,58340000,60745000,67390000,72310000,73750000,77743000,80476000,83804000,85946000,88515000,
Pre-demographic dividend,8489704.811,9597982.873,9756308.311,11371716.19,12787723.66,14207513.32,17963991.87,18545304.58,19842113.52,21206463.38,20093300.35,21339533.62,20780542.21,21408619.23,24064888.69,24362726.94,,,,
Puerto Rico,4908000,4364000,4402000,4889000,5073000,5022000,5062000,5213000,4415000,4379000,4214000,4197000,4210000,4456000,5051000,5003000,4927000,4260000,4931000,3882000
"Korea, Dem. People's Rep.",,,,,,,,,,,,,,,,,,,,
Portugal,12167000,11644000,11707000,10639000,10612000,11282000,6788000,6962000,6439000,6756000,7264000,7503000,9177000,10497000,11723000,13359000,15432000,16186000,17283000,4208000
Paraguay,3550000,3194000,2859000,2589000,2648000,2830000,3005000,3118000,3183000,3171000,3365000,3655000,3538000,3455000,4102000,4318000,4744000,4183000,4368000,1077000
West Bank and Gaza,43000,33000,37000,56000,88000,123000,264000,387000,396000,522000,449000,490000,545000,556000,432000,400000,503000,606000,688000,93000
Pacific island small states,,,,,,,1082228.467,1202558.034,1241227.856,1349967.004,1427095.933,1519503.137,1571298.374,1590536.611,1675831.869,1836886.927,1885809.472,1928869.84,1752269.772,
Post-demographic dividend,734362506.1,745620332.4,739424033.8,791914175.2,822568061,972284577.7,984896479.7,981136584.6,943253696.7,968795923.9,994042514.7,1040611729,1080304354,1105378388,1128129854,1175947745,1223167398,1257774890,1275198370,
French Polynesia,,,,,,,243000,227000,190000,179000,196000,210000,214000,228000,239000,241000,254000,264000,300000,89400.00153
Qatar,,,,,,,,,1482000,1700000,2057000,2324000,2612000,2839000,2941000,2938000,2256000,1819000,2136500,582000
Romania,4938000,4794000,5595000,6600000,5839000,6037000,7722000,8862000,7575000,7498000,7611000,7937000,8019000,8442000,9331000,10223000,10926000,11720000,12815000,5023000
Russian Federation,21595000,23309000,22521000,22064000,22201000,22486000,22909000,23676000,21339000,22281000,24932000,28177000,30792000,32421000,33729000,24571000,24390000,24551000,24419000,6359000
Rwanda,,,,,,531000,610000,669000,664000,667000,908000,1061000,1122000,1220000,1298000,1377000,1570000,1711000,1634000,
South Asia,4693365.348,4527657.859,5212015.088,6372282.545,6697186.836,7599967.117,8429239.641,8726421.006,8418738.533,9476200.139,10853945.55,11239336.22,12150072.21,19662201.22,20005025.79,22126613.55,23793410.45,26712613.63,27102764.15,
Saudi Arabia,,,,11083000,10417000,10962000,13479000,17717000,13319000,13025000,15776000,19847000,19934000,23010000,21834000,20887000,18607000,17570000,20292000,
Sudan,50000,52000,52000,61000,246000,328000,436000,440000,420000,495000,536000,575000,591000,684000,741000,800000,813000,836000,,
Senegal,,,502000,677000,779000,876000,879000,877000,815000,906000,977000,967000,1069000,976000,1014000,1219000,1376000,,,
Singapore,7522000,7567000,6127000,8329000,8943000,9751000,10285000,10116000,9683000,11642000,13171000,14496000,15568000,15095000,15231500,16403000,17425000,18508000,19116000,2742000
Solomon Islands,,,6599.999905,5599.999905,9399.999619,11500,13699.99981,16299.99924,18299.99924,20500,22899.99962,23899.99962,24399.99962,20100.00038,21600.00038,23200.00076,25700.00076,27899.99962,28899.99962,4400.000095
Sierra Leone,,,,,,,,,,,,75000,95000,53000,31000,60000,59000,66000,71000,
El Salvador,804000,885000,798000,1030000,1306000,1501000,1720000,1875000,1482000,1606000,1634000,1738000,1822000,1886000,1973000,2052000,2247000,2536000,2639000,707000
San Marino,3036000,3102000,2882000,2812000,2107000,2136000,2164000,2112000,2056000,1976000,2038000,1869000,1905000,2004000,1888000,2000000,1937000,1874000,1904000,
Somalia,,,,,,,,,,,,,,,,,,,,
Serbia,,312000,339000,392000,453000,469000,696000,646000,645000,683000,764000,810000,922000,1029000,1132000,1281000,1497000,1711000,1847000,446000
Sub-Saharan Africa (excluding high income),20377864.55,22023890.38,22796021.36,24570128.19,26229482.3,29607860.52,34490086.89,35560286.3,36521793.4,40138969.93,40525618.32,42980384.6,44484730.55,46265055.58,48672074.1,50877194.38,52496629.86,56247033.37,55555231.3,
South Sudan,,,,,,,,,,,,,,,,,,,,
Sub-Saharan Africa,20519199.9,22162330.26,22926433.43,24699148.83,26367736.54,29762488.24,34665318.37,35737670.06,36704327.02,40334502.46,40741755.28,43202323.02,44728989.9,46510985.56,48979055.51,51223036.38,52899581.21,56673405.07,56014499.15,
Small states,35693405.21,36594901.98,38156636.51,42165941.52,41471204.55,43973149.94,47057081.1,48541042.91,49158502,55249470.45,51988608.98,54646954.02,58059805.31,62560577.16,63973751.93,71729395.16,75794208.06,78864839.62,79086475.92,
Sao Tome and Principe,7500,9199.999809,10000,10600.00038,15800.00019,12300.00019,11800.00019,14500,15199.99981,8000,12199.99981,,,,25600.00038,28899.99962,28899.99962,33400.00153,,
Suriname,68000,,100000,,,154000,167000,151000,151000,206000,221000,240000,250000,253000,229000,257000,279000,,,
Slovak Republic,,,,,,,,,,,,,12583000,11556000,14936000,17376000,15406000,15299000,,
Slovenia,1219000,1302000,1373000,1499000,1555000,1617000,1751000,1958000,1824000,2049000,2236000,2377000,2502000,2675000,3022000,3397000,3991000,4425000,4702000,1216000
Sweden,4108000,4276000,4268000,4676000,4883000,4729000,5224000,4555000,4899000,5183000,11567000,12372000,10980000,10522000,6482000,6782000,7054000,7440000,7616000,1957000
Eswatini,1312000,1371000,1543000,,1182000,1200000,1230000,1186000,1344000,1343000,1328000,1278000,1299000,1325000,1256000,1279000,1343000,1277000,1226000,345299.9878
Sint Maarten (Dutch part),1271000,1436000,1600000,1823000,1956000,1890000,1891000,1821000,1655000,1956000,2080000,2210000,2253000,2502000,2407000,2197000,1640000,1775000,1952000,
Seychelles,138000,135000,127000,126000,135000,151000,171000,173000,178000,191000,210000,216000,237000,239000,296000,333000,382000,405000,428000,124500
Syrian Arab Republic,3671000,4678000,4837000,6334000,5859000,5682000,5434000,6951000,7721000,10970000,6476000,,,,,1043000,1291000,1802000,2424000,
Turks and Caicos Islands,,,,,,,,757000,865000,899000,1010000,968000,1069000,1330000,1316000,1296000,1243000,1463000,1599000,370399.9939
Chad,57000,32000,21000,26000,29000,46000,77000,61000,70000,71000,77000,86000,97000,119000,120000,98000,87000,63000,81000,10399.99962
East Asia & Pacific (IDA & IBRD countries),123938277.9,134842642,124198110.6,150908208.2,163954997.3,172620607.2,186123962.6,186639516.7,184114105.6,197693903.4,205576450.4,209238311.6,214704672.5,216907017.8,229644083.5,243207453.4,263898378.3,277743234.6,289300101.8,
Europe & Central Asia (IDA & IBRD countries),166982996.2,163685842,170010345.4,192355295.1,204584907.7,210284391.7,233796926.4,236802923.2,218138478.2,228004885.4,244817219,258377684,273457449.6,267581214.3,278325392.3,274218218.1,294608725.4,314784745.5,331546366.2,
Togo,57000,58000,61000,83000,81000,94000,86000,74000,150000,202000,300000,235000,327000,282000,273000,338000,514000,573000,876000,482000
Thailand,10133000,10873000,10082000,11737000,11567000,13822000,14464000,14584000,14150000,15936000,19230000,22354000,26547000,24810000,29923000,32530000,35592000,38178000,39916000,
Tajikistan,5199.999809,,,,,,,325000,207000,160000,183000,244000,208000,213000,414000,344000,431000,1035000,,
Turkmenistan,,,,,,,,,,,,,,,,,,,,
Latin America & the Caribbean (IDA & IBRD countries),135754875.4,133102339.9,127305056.4,138679012.3,145124920,142663119.8,141496729.3,142505000,136672000,134206000,131390000,134737000,137445000,144459600,154385000,165767000,175407000,173715171.2,172908916.9,
Timor-Leste,,,,,,14000,22000,36000,44000,40000,51000,58000,79000,60000,61599.99847,65599.99847,73900.00153,74599.99847,74800.00305,
Middle East & North Africa (IDA & IBRD countries),25738554.55,29054552.85,30668307.01,37545158.34,38891162.76,41918915.57,44393001.4,50073040.23,52971338.68,62437036.01,49845259.01,52940791.71,51346515.84,51423560.29,46829784.84,40984877.39,48055307.59,58212100.38,65078454.6,
Tonga,38000,45000,51000,51000,60000,54000,65000,65000,74699.99695,65000,68400.00153,57200.00076,59700.00076,65800.00305,72599.99847,86699.99695,86599.99847,77300.00305,94000,
South Asia (IDA & IBRD),4547447.402,4386891.801,5049972.186,6174166.627,6488969.56,7363682.167,8167172.393,8455114.312,8156997.767,9181582.618,10516493.57,10889902.34,11772323.31,19050898.28,19383064.35,21438691.39,23053667.15,25882111.54,26260132.18,
Sub-Saharan Africa (IDA & IBRD countries),20519199.9,22162330.26,22926433.43,24699148.83,26367736.54,29762488.24,34665318.37,35737670.06,36704327.02,40334502.46,40741755.28,43202323.02,44728989.9,46510985.56,48979055.51,51223036.38,52899581.21,56673405.07,56014499.15,
Trinidad and Tobago,468000,451000,474000,501000,529000,534000,531000,482000,534000,490000,491000,504000,467000,455000,519000,492000,465000,501000,480000,141000
Tunisia,5387000,5064000,5114000,5998000,6378000,6550000,6762000,7050000,7797000,7828000,5746000,6999000,7352000,7163000,5359000,5724000,7052000,8299000,9429000,2012000
Turkiye,11619000,13256000,14030000,17517000,21125000,19820000,27215000,31138000,31760000,32997000,36769000,37715000,39861000,41627000,41114000,30907000,37970000,46113000,51747000,15971000
Tuvalu,1100.000024,1299.999952,1399.999976,1299.999952,1100.000024,1100.000024,1100.000024,1700.000048,1600.000024,1700.000048,1200.000048,1100.000024,1299.999952,1399.999976,2400.000095,2500,2500,3200.000048,3599.999905,
Tanzania,525000,575000,576000,583000,613000,644000,719000,770000,714000,783000,868000,1077000,1096000,1140000,1137000,1284000,1327000,1506000,1527000,
Uganda,205000,254000,305000,512000,468000,539000,642000,844000,807000,946000,1151000,1197000,1206000,1266000,1303000,1323000,1402000,1506000,1543000,473000
Ukraine,11877000,12793000,15161000,18583000,20489000,21714000,26162000,28827000,24033000,24114000,24535000,25061000,26025000,13227000,13025000,13734000,14579000,14342000,13710000,3382000
Upper middle income,306994545.9,323043770.1,308581283,351774849.8,377443418.7,385922932.2,408189869.1,417498839,406075035.2,422026476.2,433149966,444224631.8,455797691.6,465397898.8,484482005.8,498471214.2,534415314.9,556608632.2,573310641.3,
Uruguay,2136000,1354000,1508000,1871000,1917000,1824000,1815000,2255000,2303000,2708000,3244000,3155000,3242000,3195000,3286000,3632000,4219000,3954000,3480000,
United States,70975000,64434000,62082000,67606000,71484000,183178000,175299000,175703000,160508000,162275000,147271421.9,171629890.6,179309906.3,178311359.4,176864531.3,175261484.4,174291750,169324921.9,165478000,45037000
Uzbekistan,345000,332000,231000,262000,242000,560000,903000,1069000,1215000,975000,1393000,1895000,1969000,1862000,1918000,2027000,2690000,5346000,6749000,
St. Vincent and the Grenadines,254000,247000,242000,262000,256000,306000,328000,250000,271000,231000,208000,200000,200000,205000,207000,227000,303000,356000,392000,
"Venezuela, RB",792000,590000,435000,618000,846000,883000,898000,702000,567000,535000,625000,1061000,1085000,967000,882000,681000,429000,,,
British Virgin Islands,296000,282000,278000,304000,337000,356000,358000,346000,309000,330000,338000,351000,366000,386000,393000,408000,335000,192000,302399.9939,83000
Virgin Islands (U.S.),2497000,2337000,2395000,2620000,2602000,2571000,2606000,2435000,2245000,2531000,2686000,2640000,2702000,2814000,2643000,2574000,1954000,1922000,2074000,8612000
Viet Nam,2330000,2628000,2429000,2928000,3477000,3583000,4229000,4236000,3747000,5050000,6014000,6848000,7572000,7874000,7944000,10013000,12922000,15498000,18009000,3837000
Vanuatu,106000,99000,102000,99000,126000,154000,167000,196600.0061,225500,237699.9969,248899.9939,321000,357000,329000,287000,351600.0061,332700.0122,350200.0122,256000,82400.00153
World,1299004508,1319581840,1300066793,1436450364,1501611341,1683029832,1739388600,1750746690,1687198488,1755720046,1792688016,1881196825,1952484358,2012330419,2071785910,2140443306,2248870724,2339399881,2403074088,
Samoa,,,,,,116000,122000,122000,129000,130000,128000,135000,125000,132000,139000,146000,158000,172000,181000,23899.99962
Kosovo,,,,,,,,,,,,,,,,,,,,
"Yemen, Rep.",,,,,,,,,,1035000,1175000,1282000,1323000,1218000,398000,,,,,
South Africa,5908000,6550000,6640000,6815000,7518000,8509000,9208000,9729000,9532000,11303000,12097000,13069000,14318000,14530000,13952000,15121000,14975000,15004000,14797000,3886600.098
Zambia,492000,565000,413000,515000,669000,757000,897000,812000,710000,815000,920000,859000,915000,947000,932000,956000,1009000,1072000,1266000,502000
Zimbabwe,2217000,2041000,2256000,1854000,1559000,2287000,2506000,1956000,2017000,2239000,2423000,1794000,1833000,1880000,2057000,2168000,2423000,2580000,2294000,639000
