,Country,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
48,Costa Rica,361000.0,364000.0,373000.0,425000.0,487000.0,485000.0,577000.0,528000.0,579000.0,662000.0,717000.0,773000.0,790000.0,798000.0,919000.0,1036000.0,1150000.0,1079000.0,1153000.0,324000.0,523812.2415358328,620578.7767019046,728062.0267502882,762492.0822479543,778986.0108311122,1051379.1459018304
50,Cuba,121000.0,111000.0,113000.0,124000.0,162000.0,199000.0,194000.0,202000.0,206000.0,251000.0,253000.0,213000.0,286000.0,355000.0,580000.0,385000.0,459000.0,552000.0,650000.0,271000.0,269888.8273936521,269848.3084747078,270728.29250429355,269223.15210990416,268124.6379714843,265646.08843401534
53,Cyprus,684000.0,744000.0,737000.0,859000.0,914000.0,932000.0,1081000.0,1210000.0,1172000.0,1246000.0,1209000.0,1194000.0,1115000.0,1209000.0,1119000.0,1268000.0,1407000.0,1446000.0,1578000.0,271000.0,254184.67414771317,271489.9956694963,278997.57953517674,324008.99350862496,271489.99566949677,321483.7520731697
54,Czechia,684000.0,744000.0,7213000.0,6643000.0,6963000.0,6393000.0,9048000.0,9665000.0,8904000.0,8673000.0,5279000.0,5419000.0,5781000.0,5651000.0,5856000.0,6027000.0,6775000.0,7390000.0,7346000.0,2399000.0,2399056.308047558,2399314.4657778232,2399300.8548593414,2399267.228893287,2399279.05579006,2399260.526104812
55,Germany,81551000.0,80393000.0,85345000.0,84859000.0,86622000.0,81801000.0,82099000.0,86201000.0,85547000.0,85872000.0,84692000.0,82729000.0,87459000.0,83008000.0,83737000.0,90966000.0,92402000.0,108542000.0,99533000.0,2399000.0,2581685.474864427,3366922.4332047594,5280786.824742217,1816639.8097602983,4950353.600526974,4185570.9611794604
58,Denmark,4946000.0,4935000.0,5564000.0,4630000.0,5469000.0,6129000.0,6564000.0,6347000.0,7037000.0,7726000.0,7846000.0,7843000.0,6977000.0,8528000.0,8991000.0,9651000.0,8087000.0,7475000.0,9088000.0,4230000.0,4173955.192837829,4169593.2408399316,4169701.4191016383,4202929.793806274,4146082.733298475,4131238.872669616
59,Dominican Republic,331000.0,332000.0,321000.0,368000.0,419000.0,420000.0,443000.0,413000.0,415000.0,401000.0,408000.0,418000.0,392000.0,427000.0,478000.0,500000.0,522000.0,514000.0,532000.0,210000.0,199779.39207409916,205716.0731179443,214319.97348623973,192251.33201694043,222186.33898949507,268924.729884577
60,Algeria,1190000.0,1257000.0,1254000.0,1417000.0,1513000.0,1349000.0,1499000.0,1539000.0,1677000.0,1757000.0,1715000.0,1911000.0,2136000.0,2839000.0,3638000.0,4530000.0,5058000.0,5610000.0,5732000.0,1386000.0,1393860.4401880177,1392421.5189187657,1398868.8099570964,1405531.6262576564,1422707.1560321464,1437848.278729435
61,East Asia & Pacific (excluding high income),33607829.6,33183645.03,36835527.58,42046888.86,45651720.96,51794241.93,60451886.13,66226942.19,67897762.07,81845597.38,97463919.67,113847239.7,133004491.8,155347356.6,170248441.2,181136727.2,192151378.1,202247515.9,210530956.3,1386000.0,471675.4953018438,193883.52269812278,87911.36983900782,39830.65471539889,18068.856455497225,11335.395839539773
62,Early-demographic dividend,212440258.9,215405027.0,216755688.1,231847307.9,238161620.7,231161562.8,220452989.4,220696425.1,212055993.4,233443159.9,230622330.1,240569262.8,262592017.4,268751796.4,291665952.6,312536177.8,323293789.7,309760109.9,309162984.6,1386000.0,1402276.2381874467,1398736.1241865007,1411070.8460920677,1437005.5388162525,1443950.0899837282,1468725.181672239
