Country,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Aruba,,,,,,,,,,,,,,,,,,,,
Africa Eastern and Southern,,,,,,,,,,,,,,,,,,,,
Afghanistan,,,,,,,,,,,,,,,,,,,,
Africa Western and Central,,,,,,,,,,,,,,,,,,,,
Latin America & the Caribbean (IDA & IBRD countries),146275813.7,147227984,146648261.2,154187895.5,155775205.4,150244605.8,139215149.1,138747910.1,128358406.5,124763533.8,126189114.5,128321824.5,135844979.6,137786239.7,146490002.1,154854095.3,156386723.3,145817951.5,139218767.5,
Timor-Leste,,,,,,,,,,,,,,,,,,,,
Middle East & North Africa (IDA & IBRD countries),,,,,,,,,,,,,,,,,,,,
Tonga,,,,,,,,,,,,,,,,,,,,
South Asia (IDA & IBRD),7207075.355,7801927.15,8610112.89,9938652.858,11433119.23,12873405.55,15286675.26,15117362.6,16943521.78,19125115.55,20658496.87,22014160.89,23161348.84,25431129.95,28138552.83,30194692.25,32864565.98,35959133.49,36715295.6,
Sub-Saharan Africa (IDA & IBRD countries),,,,,,,,,,,,,,,,,,,,
Trinidad and Tobago,,,,,,,,,270000,273000,,,,,,,,,,
Tunisia,1669000,1939000,2274000,2312000,2241000,2302000,2743000,3118000,2623000,2250000,2303000,2897000,2873000,2637000,,1830000,,2515000,2781000,739000
Turkiye,4856000,5131000,5928000,7299000,8246000,8275000,4956000,4893000,5561000,6557000,6282000,5803000,7526000,7982000,8751000,7892000,8887000,8383000,9651000,2243000
Tuvalu,2799.999952,2700.000048,2599.999905,2299.999952,2200.000048,2000,2400.000095,,,,2099.999905,,,,,,,,,
Tanzania,,,,,,,,,,,,,,,,,,,,
Uganda,152000,184000,189000,231000,189000,254000,272000,337000,311000,324000,367000,469000,471000,511000,523000,568000,,,,
Ukraine,,,,,,,17866000,16100000,15961000,17741000,20335000,21755000,23988000,22637000,23336000,25226000,27067000,27977000,29346000,11251000
Upper middle income,217718328.5,221251780.1,228983477.6,250002201.9,260450506,263308137.5,265937982.2,276363701.2,266022166.8,280739180.6,301908358.9,324451951.4,359284803.4,373138094.9,385909895,404756512.8,433512501.2,435778612.8,444865191.8,
Uruguay,531000,530000,495000,569000,658000,666000,635000,734000,826000,1027000,1534000,1816000,2281000,2396000,2217000,1715000,1789000,1947000,2199000,
United States,84755000,80883000,75880000,79655000,79215000,148511000,140364000,136148000,129954000,121574000,114089000,116329000,118968000,121699000,130364000,141526000,148045000,158445406.3,170930093.8,60549898.44
Uzbekistan,183000,264000,400000,455000,572000,893000,1248000,1150000,1317000,1610000,,,3117000,2786000,3491000,3848000,5182000,8594000,8437000,
St. Vincent and the Grenadines,,,,,,,,,,,,,,,,,,,,
"Venezuela, RB",933000,881000,832000,816000,1067000,1095000,1410000,1745000,1651000,1477000,1719000,1734000,1931000,1589000,1539000,1530000,1079000,,,
British Virgin Islands,,,,,,171000,166000,166000,140000,151000,145000,139000,,,,,,,,
Virgin Islands (U.S.),,,,,,,,,,,,,,,,,,,,
Viet Nam,,,,,,,,,,,,,,,,,,,,
Vanuatu,11000,11000,12000,13000,14000,15000,16000,19000,20000,21000,22000,23000,26000,26000,27000,20299.99924,26299.99924,28399.99962,36400.00153,9399.999619
World,1121398704,1127808612,1130457014,1201164309,1254803572,1383150802,1425571396,1453143997,1397423334,1457015080,1504559276,1564352745,1641229336,1651310269,1744980358,1820356515,1934268135,1991161437,2034431899,
Samoa,56000,53000,51000,54000,52000,51000,52000,53000,43000,56000,57000,56000,51000,57000,54000,,55000,64000,69000,18500
Kosovo,,,,,,,,,,,,,,,,,,,,
"Yemen, Rep.",,,,,,,,,,,,,,,,,,,,
South Africa,,,,,,,,,,,,,,,,,,,,
Zambia,,,,,,,,,,,,,,,,,,,,
Zimbabwe,,,386000,498000,474000,541000,547000,593000,631000,650000,693000,720000,2946000,3182000,3393000,3192000,2768000,2288000,3275000,
