Country,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Aruba,,,,,,,,,,,,,,,,,,,,
Africa Eastern and Southern,,,,,,,,,,,,,,,,,,,,
Afghanistan,,,,,,,,,,,,,,,,,,,,
Africa Western and Central,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific (excluding high income),33607829.6,33183645.03,36835527.58,42046888.86,45651720.96,51794241.93,60451886.13,66226942.19,67897762.07,81845597.38,97463919.67,113847239.7,133004491.8,155347356.6,170248441.2,181136727.2,192151378.1,202247515.9,210530956.3,
Early-demographic dividend,212440258.9,215405027,216755688.1,231847307.9,238161620.7,231161562.8,220452989.4,220696425.1,212055993.4,233443159.9,230622330.1,240569262.8,262592017.4,268751796.4,291665952.6,312536177.8,323293789.7,309760109.9,309162984.6,
East Asia & Pacific,142852067,146849553.8,144565260.1,168503338.3,178980034.5,191973606.5,209160640,214079069.4,212759734,236680060.3,254609640.2,275983951.2,296517180.4,321003450.4,345737393.8,366330196.1,384699656.3,402010474.2,415489956.3,
Europe & Central Asia (excluding high income),,,,76738619.4,85797832.22,91548425.84,100443508.9,104726021.9,102230776.3,110297645.2,123276429.9,132546898.1,147039143.7,136995126.8,129803442.2,133101122.5,153450258.7,165722068,174307497.9,
Europe & Central Asia,453096545.8,457281193.3,467949386.2,477522968.1,504648379.4,516208188.5,543821360.1,562146928.2,539873168,554242170.5,573579334.7,585069762.8,608350743.4,587759571.4,604738772.9,626599435.2,682564892.6,729507921.2,740715759.5,
Ecuador,562000,627000,613000,603000,664000,733000,801000,815000,814000,899000,1022000,1022000,1138000,1096000,1221000,1366000,1347000,1402000,1515000,
"Egypt, Arab Rep.",,,,,,,,,4716000,4618000,4863000,5678000,5782000,6180000,,,,,,
Euro area,223258385.5,227220660.5,237311634.4,232662990.3,241460247.1,240206221.4,251318903.5,261350173.5,260250412,261465779.2,263529591.1,259790000,262622000,265842000,271600000,285847000,311204000,338485601.6,337838000,
Eritrea,,,,,,,,,,,,,,,,,,,,
Spain,,,,,,,12709000,13042000,13754000,14254000,15944000,14916000,13434000,13952000,17625000,18277000,20274000,22287000,22816000,6236000
