Country,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Papua New Guinea,,,100000.0015,699999.9881,600000.0238,27000000,60000000,46000000,19000000,19000000,25000000,48000000,61000000,43000000,10000000,7000000,14000000,21000000,,
Poland,99000000,162000000,201000000,317000000,347000000,430000000,588000000,785000000,517000000,530000000,421000000,371000000,311000000,670000000,584000000,633000000,691000000,886000000,941000000,345000000
Pre-demographic dividend,,,,,1737292610,1981062916,3114553741,3510101817,3402954339,5084050291,5451949616,6041541969,6340184864,6936696029,7410279832,6722252202,5757163832,8002735565,7051941557,
Puerto Rico,452000000,391000000,435000000,499000000,520000000,547000000,551000000,548000000,469000000,373000000,386000000,375000000,360000000,331000000,317000000,339000000,342000000,301000000,,
"Korea, Dem. People's Rep.",,,,,,,,,,,,,,,,,,,,
Portugal,492000000,508000000,573000000,606000000,693000000,802000000,929000000,955000000,829000000,787000000,805000000,699000000,980000000,1062000000,881000000,773000000,908000000,1031000000,1094000000,396000000
Paraguay,58000000,52000000,48000000,50000000,51000000,52000000,75000000,86000000,100000000,116000000,134000000,156000000,182000000,193000000,213000000,213000000,213000000,213000000,213000000,130000000
West Bank and Gaza,13000000,7000000,9000000,8000000,9000000,3000000,11000000,10000000,8000000,6000000,8000000,4000000,5000000,7000000,10000000,14000000,21000000,20000000,24000000,9000000
Pacific island small states,,,,83997348.89,97821599.28,75189121.13,79849126.3,92044731.53,87423239.41,86903481.24,83784936.85,96259120.71,84304693.77,67253115.99,66963855.98,55248796.56,55393427.68,66201900.81,,
Post-demographic dividend,76189707887,77394935952,81686757979,93664639693,1.03848E+11,1.12362E+11,1.26271E+11,1.3857E+11,1.2086E+11,1.40962E+11,1.59025E+11,1.64992E+11,1.50409E+11,1.50109E+11,1.35425E+11,1.29959E+11,1.39011E+11,1.52532E+11,1.52022E+11,
French Polynesia,,84000000,99000000,114000000,118000000,,,229000000,175000000,175000000,159000000,142000000,137000000,143000000,131000000,74000000,,,,
Qatar,,,,,,,,,,,6006000000,5054000000,5113000000,4189000000,3470000000,4063000000,2646000000,2482000000,3042000000,4762000000
Romania,26000000,52000000,93000000,133000000,148000000,149000000,182000000,233000000,297000000,260000000,329000000,276000000,120000000,236000000,289000000,342000000,578000000,781000000,1176000000,450000000
Russian Federation,475000000,444000000,547000000,797000000,991000000,1366000000,2032000000,3232000000,2766000000,3476000000,4441000000,5298000000,6051000000,4955000000,3500000000,3702000000,4526000000,4520000000,4459000000,1660000000
Rwanda,13000000,,,,38000000,43000000,51000000,76000000,76000000,43000000,53000000,54000000,47000000,49000000,42000000,43000000,48000000,45000000,46799999.24,23000000
South Asia,,,,,,,,,,,,3495000000,4635000000,5024600000,5170000000,5063000000,6044000000,7006000000,8426202712,
Saudi Arabia,,,,,,,861000000,876000000,893000000,941000000,931000000,963000000,988000000,1019000000,1020000000,1013000000,1513000000,1288000000,1275000000,536000000
Sudan,,,,,,,,,,,,,,,,,,,,
Senegal,69000000,69000000,74000000,81000000,79000000,85000000,99000000,101000000,103000000,57000000,99000000,104000000,115000000,132000000,128000000,130000000,141000000,153000000,,
Singapore,,,,,,,,,,,,,,,,,,,,
Solomon Islands,3900000.095,2700000.048,2000000,3299999.952,6500000,4300000.191,6599999.905,6500000,6000000,4000000,1100000.024,200000.003,600000.0238,1200000.048,300000.0119,200000.003,100000.0015,100000.0015,100000.0015,9999.999776
Sierra Leone,200000.003,100000.0015,800000.0119,300000.0119,1600000.024,3000000,3000000,400000.006,13000000,9000000,12000000,17000000,51000000,5000000,5000000,6500000,8000000,7000000,6000000,
El Salvador,52000000,75000000,82000000,81000000,82000000,83000000,85000000,85000000,66000000,61000000,41000000,26000000,28000000,29000000,38000000,39000000,48000000,47000000,33000000,20000000
San Marino,,,,,,,,,,,,,,,,,,,,
Somalia,,,,,,,,,,,,,,,,,,,,
Serbia,,,,,,,161000000,197000000,145000000,149000000,158000000,157000000,173000000,181000000,152000000,149000000,168000000,194000000,194000000,64000000
Sub-Saharan Africa (excluding high income),,,,,3658094385,4575539782,6265660135,7233827307,6787747233,8841165929,10151681011,10614748561,10849524926,11508503018,11712047287,10851497250,10398226613,12748181033,11861036316,
South Sudan,,,,,,,,,,,,,,201000000,732000000,313000000,286000000,505000000,449000000,468000000
Sub-Saharan Africa,,,,,3680559807,4597272557,6298738397,7260173302,6809446914,8866558862,10176315704,10636666379,10873747159,11536008080,11734665712,10892726364,10443462667,12780774330,11905647349,
Small states,,,,,,,,,,,9115916303,8058387017,8100569812,6988749855,6569718275,7641353861,5944649809,5831620615,6785746332,
Sao Tome and Principe,1399999.976,1299999.952,1299999.952,1500000,400000.006,899999.9762,600000.0238,300000.0119,400000.006,500000,1000000,800000.0119,,,,,,,,
Suriname,39000000,44000000,62000000,71000000,77000000,15000000,6000000,5000000,3000000,2000000,7000000,7000000,5000000,3000000,12000000,1000000,6000000,10000000,7000000,4000000
Slovak Republic,51000000,64000000,89000000,155000000,278000000,170000000,292000000,431000000,151000000,202000000,263000000,169000000,156000000,154000000,140000000,180000000,188000000,201000000,224000000,67000000
Slovenia,32000000,39000000,52000000,69000000,69000000,84000000,116000000,253000000,178000000,163000000,172000000,149000000,142000000,158000000,139000000,178399993.9,134600006.1,121000000,93500000,37900001.53
Sweden,995000000,920000000,1079000000,923000000,1074000000,1307000000,1824000000,1817000000,1523000000,1847000000,,,,,,,,,,
Eswatini,1000000,,1000000,6000000,11000000,5000000,12000000,13000000,26000000,26000000,5000000,9000000,10000000,8000000,14000000,3000000,9000000,2000000,1000000,400000.006
Sint Maarten (Dutch part),,,,,,,400000.006,100000.0015,23000000,22000000,24000000,28000000,25000000,29000000,26000000,16000000,12000000,8000000,10000000,2000000
Seychelles,18000000,20000000,18000000,19000000,20000000,20000000,30000000,25000000,21000000,25000000,25000000,23000000,25000000,28000000,24000000,39000000,42000000,33000000,42000000,13000000
Syrian Arab Republic,,,34000000,38000000,34000000,45000000,65000000,111000000,98000000,88000000,76000000,,,,,,,,,
Turks and Caicos Islands,,,,,,,,,,,,,,,,,,,,
Chad,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific (IDA & IBRD countries),,,,,,,,,,,,,,,,,,,,
Europe & Central Asia (IDA & IBRD countries),1640641205,1887056577,2327540013,3190632195,3693677047,4617096309,5721232467,7689702663,6231182291,7037094642,8027099723,9183782311,9648234372,8940649179,6932594345,8006928971,9628547056,10634091895,10806268688,
Togo,15000000,21000000,30000000,30000000,34000000,37000000,42000000,49000000,47000000,43000000,24000000,12000000,13000000,19000000,16000000,17000000,18000000,23000000,18000000,
Thailand,410000000,585000000,617000000,829000000,1117000000,1577000000,1745000000,1695000000,1315000000,1528000000,1817000000,1847000000,1757000000,1753000000,1821000000,2195000000,2172000000,2323000000,2614000000,816000000
Tajikistan,,,,,,,,,,35400001.53,28299999.24,32599998.47,40200000.76,35000000,25000000,21000000,11000000,14000000,23200000.76,7300000.191
Turkmenistan,,,,,,,,,,,,,,,,,,,,
Latin America & the Caribbean (IDA & IBRD countries),5054601672,4399114483,4530010542,5258641826,6309765518,7248016867,8767762339,9679811181,9107387157,10774269790,12983342784,15145049705,16406801251,15677162179,13894528431,13821420418,16346581842,16316092614,14946037360,
Timor-Leste,,,,,,300000.0119,2000000,11000000,11000000,16000000,13000000,19000000,17000000,18000000,17000000,16000000,16000000,16000000,18000000,7000000
Middle East & North Africa (IDA & IBRD countries),1184403235,1430705939,1996029286,2680991889,3101230604,3123041961,3433107623,3876452157,3702994469,3563172189,3543476203,3221364415,2918553699,3170895963,2978869654,3181974404,3479763053,2821290738,2633436607,
Tonga,,,9899999.619,10100000.38,12199999.81,6900000.095,7400000.095,11399999.62,12699999.81,13899999.62,11600000.38,14300000.19,11199999.81,9399999.619,9199999.809,3299999.952,3400000.095,5199999.809,5000000,5000000
South Asia (IDA & IBRD),,,,,,,,,,,,,,,,,,,,
Sub-Saharan Africa (IDA & IBRD countries),,,,,3680559807,4597272557,6298738397,7260173302,6809446914,8866558862,10176315704,10636666379,10873747159,11536008080,11734665712,10892726364,10443462667,12780774330,11905647349,
Trinidad and Tobago,21000000,22000000,36000000,45000000,54000000,53000000,61000000,27000000,31000000,26000000,38000000,27000000,27000000,44000000,46000000,43000000,50000000,51000000,47000000,9000000
Tunisia,49000000,43000000,55000000,87000000,78000000,88000000,93000000,97000000,63000000,64000000,71000000,80000000,93000000,89000000,71000000,74000000,76000000,90000000,91000000,38000000
Turkiye,,,,,459000000,528000000,605000000,685000000,486000000,623000000,489000000,491000000,200000000,259000000,267000000,915000000,1042000000,1473000000,1244000000,599000000
Tuvalu,600000.0238,600000.0238,800000.0119,800000.0119,600000.0238,469999.9988,1000000,1200000.048,1200000.048,1299999.952,1799999.952,2000000,2299999.952,2400000.095,3000000,3599999.905,3799999.952,3700000.048,3500000,
Tanzania,36000000,24000000,22000000,25000000,23000000,37000000,21000000,25000000,40000000,31000000,29000000,36000000,67000000,83000000,93000000,70000000,66000000,80000000,87099998.47,
Uganda,2000000,2000000,44000000,50000000,61000000,73000000,88000000,159000000,159000000,144000000,135000000,158000000,141000000,153000000,92000000,101000000,151000000,164000000,178000000,158000000
Ukraine,110000000,137000000,164000000,197000000,273000000,368000000,453000000,562000000,421000000,392000000,368000000,432000000,537000000,409000000,307000000,336000000,415000000,388000000,390000000,132000000
Upper middle income,,,,,,,,,,,,,,,,,,,,
Uruguay,81000000,65000000,67000000,73000000,79000000,92000000,115000000,108000000,106000000,130000000,153000000,165000000,192000000,248000000,226000000,224000000,226000000,219000000,214000000,71000000
United States,21660000000,20345000000,20464000000,23011000000,24583000000,27029000000,30323000000,34817000000,32613000000,38666000000,43983000000,47827000000,41205000000,43980000000,42003000000,38484000000,40358000000,50678000000,52794000000,13031000000
Uzbekistan,,,,,,,,,,,,,,395000000,308000000,450000000,476000000,479000000,440000000,174000000
St. Vincent and the Grenadines,,,,,,,,,,,,,,13000000,17000000,18000000,14000000,15000000,15000000,4000000
"Venezuela, RB",610000000,565000000,452000000,527000000,567000000,578000000,750000000,935000000,1124000000,931000000,1410000000,1955000000,2187000000,1690000000,1148000000,1108000000,,,,
British Virgin Islands,,,,,,,,,,,,,,,,,,,,
Virgin Islands (U.S.),,,,,,,,,,,,,,,,,,,,
Viet Nam,,,,,,,,,,,,,,,,,,,,
Vanuatu,,2000000,2000000,2000000,2000000,2000000,2000000,3000000,4000000,4000000,4000000,6000000,5000000,4000000,4000000,3000000,3000000,4000000,6000000,4000000
World,1.03226E+11,1.03933E+11,1.08753E+11,1.26353E+11,1.43216E+11,1.57127E+11,1.80204E+11,2.02198E+11,1.74458E+11,2.03706E+11,2.30691E+11,2.40299E+11,2.31407E+11,2.30501E+11,2.0978E+11,2.07773E+11,2.22824E+11,2.47819E+11,2.49918E+11,
Samoa,,,,6500000,7800000.191,11399999.62,9600000.381,10699999.81,9300000.191,10300000.19,9300000.191,12300000.19,11500000,2599999.905,1200000.048,699999.9881,699999.9881,2400000.095,1799999.952,500000
Kosovo,,,,,,,,,,,,,,,,,,,,
"Yemen, Rep.",57000000,57000000,57000000,57000000,57000000,63000000,63000000,63000000,63000000,69000000,76000000,75000000,75000000,81000000,7000000,7000000,,,,
South Africa,488000000,440000000,766000000,1080000000,1438000000,1846000000,2177000000,2501000000,2269000000,2544000000,3114000000,3076000000,3062000000,3145000000,2736000000,2496000000,2810000000,2946000000,2725000000,666000000
Zambia,58000000,62000000,66000000,31000000,30000000,29000000,47000000,46000000,47000000,62000000,112000000,138000000,147000000,156000000,166000000,176000000,187000000,199000000,213000000,240000000
Zimbabwe,,,,,,,,,57000000,72000000,89000000,115000000,104000000,109000000,81000000,79000000,22000000,21000000,53000000,22000000
