Country,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Cote d'Ivoire,102000000,132000000,164000000,190000000,195000000,210000000,234000000,256000000,246000000,217000000,200000000,196000000,202000000,223000000,203000000,119000000,177500000,209000000,228000000,110000000
Cameroon,39000000,34000000,101000000,71000000,125000000,109000000,98000000,153000000,87000000,79000000,93000000,150000000,183000000,200000000,174000000,203000000,210000000,227000000,235000000,144000000
"Congo, Dem. Rep.",,,,,,,,,,,,,,,,,,,,
"Congo, Rep.",17000000,15000000,40000000,73000000,,,66000000,133000000,171000000,101000000,104000000,135000000,156000000,178000000,233000000,206000000,,,,
Colombia,392000000,280000000,287000000,358000000,435000000,481000000,597000000,642000000,589000000,587000000,657000000,835000000,651000000,616000000,572000000,637000000,661000000,747000000,723000000,180000000
Comoros,,,,,9500000,12600000.38,13100000.38,15800000.19,12899999.62,14100000.38,16299999.24,16600000.38,,16000000,15000000,17000000,18000000,20000000,22000000,12000000
Cabo Verde,8000000,7000000,16000000,15000000,15000000,24000000,16000000,10000000,9000000,9000000,10000000,8000000,7000000,5000000,8000000,8000000,22000000,27000000,22000000,7000000
Costa Rica,70000000,86000000,135000000,129000000,128000000,168000000,200000000,167000000,137000000,211000000,220000000,225000000,224000000,207000000,208000000,252000000,278000000,360000000,380000000,397000000
Caribbean small states,267455712.2,276965248.6,322135546.7,434340062.9,501904072.7,398145057.7,423481561.3,371602053.8,340233049.3,347472050.3,296799043,494665071.6,471741568.3,591185085.6,532870910.5,474556735.4,601550791.3,653907989.8,,
Cuba,,,,,,,,,,,,,,,,,,,,
Curacao,,,,,,,20000000,26000000,49000000,56000000,54000000,79000000,78000000,73000000,73000000,69000000,77000000,68000000,70000000,25000000
Cayman Islands,,,,,,,,,,,,,,,,,65000000,70000000,72000000,
Cyprus,140000000,70000000,89293968.2,95639816.28,69000000,64161163.33,74829299.93,302000000,337000000,,,,,,373000000,439318512,,,,
Czechia,,200000000,243000000,402000000,198000000,109000000,127000000,145000000,81000000,102000000,87000000,84000000,61000000,40000000,47000000,42000000,68000000,102000000,145000000,65000000
Germany,4613000000,6498000000,7549000000,9090000000,10346000000,11564000000,13032000000,14050000000,11438000000,13300000000,13682000000,12994000000,11357000000,8453000000,7866000000,7489000000,7427000000,8303000000,8134000000,
Djibouti,8899999.619,4900000.095,7099999.905,11199999.81,11500000,11500000,11600000.38,11800000.19,11699999.81,11899999.62,12500000,11199999.81,,,,,,,,
Dominica,,,,,,,,,,,,,,13000000,12000000,10000000,9000000,8000000,9000000,3000000
Denmark,,,,,,,,,,,,,,,,,,,,
