,Country,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
22,Bahrain,173000000.0,170000000.0,120000000.0,141000000.0,160000000.0,184000000.0,192000000.0,201000000.0,189000000.0,178000000.0,181000000.0,161000000.0,162000000.0,147000000.0,597000000.0,884000000.0,878000000.0,863000000.0,917000000.0,215000000.0,295641614.3995569,282970198.9704288,384615381.7126723,378423730.4816137,488179267.8762474,12395871.823603502
23,"Bahamas, The",86000000.0,94000000.0,99000000.0,153000000.0,184000000.0,156000000.0,161000000.0,155000000.0,146000000.0,141000000.0,101000000.0,98000000.0,100000000.0,116000000.0,109000000.0,111000000.0,183000000.0,187000000.0,179000000.0,56000000.0,53078657.131748654,43945410.70702328,43201826.25760884,43698627.90323895,47527883.80689746,45882779.71288814
24,Bosnia and Herzegovina,22000000.0,27000000.0,39000000.0,45000000.0,36000000.0,40000000.0,61000000.0,64000000.0,54000000.0,53000000.0,54000000.0,57000000.0,65000000.0,78000000.0,72000000.0,65000000.0,97000000.0,105000000.0,108000000.0,51000000.0,53510739.302885585,53256467.127848506,52527763.33788036,50798908.15856086,48492820.03078604,49492057.44394114
25,Belarus,32000000.0,34000000.0,37000000.0,50000000.0,68000000.0,89000000.0,118000000.0,144000000.0,113000000.0,126000000.0,141000000.0,159000000.0,180000000.0,149000000.0,96000000.0,91000000.0,99000000.0,101000000.0,102000000.0,32000000.0,35016151.538485825,32457692.367079902,29930983.786701534,27528299.478019472,31271636.443875846,42066098.723812535
26,Belize,3000000.0,4000000.0,4000000.0,4000000.0,3000000.0,2000000.0,3000000.0,3000000.0,2000000.0,3000000.0,3000000.0,2000000.0,2000000.0,2000000.0,3000000.0,2000000.0,2000000.0,2000000.0,2000000.0,1490000.01,1490000.0100000012,1490000.0100000012,1490000.0100002817,1490000.0100002817,1490000.0100002817,1490000.0100000012
27,Bermuda,3000000.0,4000000.0,4000000.0,4000000.0,3000000.0,126000000.0,165000000.0,152000000.0,112000000.0,116000000.0,110000000.0,106000000.0,100000000.0,114000000.0,119000000.0,124000000.0,114000000.0,80000000.0,78000000.0,21000000.0,21468755.95224865,21562085.339539327,21627417.669864506,21730591.553761326,21499273.726351444,21424030.424903717
28,Bolivia,31000000.0,34000000.0,59000000.0,68000000.0,71000000.0,87000000.0,81000000.0,100000000.0,98000000.0,108000000.0,112000000.0,141000000.0,139000000.0,145000000.0,138000000.0,142000000.0,168000000.0,143000000.0,174000000.0,51000000.0,48152210.58910624,46862379.65318578,39460647.77841144,39883779.57215324,38645055.259373724,40099357.10298118
29,Brazil,566000000.0,533000000.0,613000000.0,881000000.0,1185000000.0,1737000000.0,2223000000.0,2307000000.0,1999000000.0,2918000000.0,3806000000.0,3969000000.0,4258000000.0,4431000000.0,2999000000.0,2571000000.0,3989000000.0,3963000000.0,3585000000.0,1096000000.0,1065710416.4960033,1032466435.8749251,1027314755.4513018,1018737916.953513,1013909854.2579223,1062235465.6965833
30,Barbados,48000000.0,47000000.0,49000000.0,55000000.0,57000000.0,62000000.0,78000000.0,74000000.0,57000000.0,74000000.0,43000000.0,42000000.0,43000000.0,66000000.0,63000000.0,46000000.0,3989000000.0,3963000000.0,3585000000.0,1096000000.0,1096000000.000001,390233854.1004984,373151611.94870794,390233854.1004984,881639267.7648575,806972268.5575604
33,Botswana,11000000.0,13000000.0,5000000.0,4000000.0,1000000.0,3000000.0,1299999.952,699999.9881,400000.006,500000.0,479999.9893,1000000.0,200000.003,1000000.0,400000.006,100000.0015,300000.0119,300000.0119,3700000.048,2799999.952,3186203.4381010747,3236544.875760697,2441592.6801129645,4529901.591823665,2441592.6801129645,3471270.6778134704
36,Central Europe and the Baltics,854453349.9,1072302646.0,1364569297.0,1863199901.0,2207099032.0,2219982861.0,2355758599.0,3037824491.0,2108340878.0,2081352388.0,2192544969.0,1974477965.0,1790956230.0,2316732596.0,2158707046.0,2310879798.0,2702041807.0,3217088043.0,3822364917.0,2799999.952,24311505.95726002,18055737.003180012,32860077.534419514,57390151.330178395,13177948.06127477,19734458.369820617
37,Switzerland,2089000000.0,1792000000.0,1861000000.0,1957000000.0,1931000000.0,2094000000.0,2350000000.0,2619000000.0,2270000000.0,2527000000.0,3005000000.0,2866000000.0,2939000000.0,3072000000.0,2468000000.0,2322000000.0,2402000000.0,2387000000.0,2343000000.0,826000000.0,895675984.1148614,605005060.9683642,673502738.7722281,636211458.1955837,575533857.9900135,944901686.440279
39,Chile,231000000.0,259000000.0,259000000.0,274000000.0,304000000.0,334000000.0,382000000.0,392000000.0,337000000.0,423000000.0,422000000.0,567000000.0,632000000.0,618000000.0,555000000.0,609000000.0,789000000.0,761000000.0,714000000.0,190000000.0,185654254.08498117,185787887.90470043,169833125.0920457,164321121.50997558,165443969.37019286,170941156.21985522
41,Cote d'Ivoire,102000000.0,132000000.0,164000000.0,190000000.0,195000000.0,210000000.0,234000000.0,256000000.0,246000000.0,217000000.0,200000000.0,196000000.0,202000000.0,223000000.0,203000000.0,119000000.0,177500000.0,209000000.0,228000000.0,110000000.0,122764291.9209953,129600283.20450483,131351171.77779455,128746525.23211963,120560222.8044395,128324901.54245754
42,Cameroon,39000000.0,34000000.0,101000000.0,71000000.0,125000000.0,109000000.0,98000000.0,153000000.0,87000000.0,79000000.0,93000000.0,150000000.0,183000000.0,200000000.0,174000000.0,203000000.0,210000000.0,227000000.0,235000000.0,144000000.0,167632055.20187518,161461016.28501722,144657057.31539366,138192971.9145378,135399440.4787234,139804475.4932023
45,Colombia,392000000.0,280000000.0,287000000.0,358000000.0,435000000.0,481000000.0,597000000.0,642000000.0,589000000.0,587000000.0,657000000.0,835000000.0,651000000.0,616000000.0,572000000.0,637000000.0,661000000.0,747000000.0,723000000.0,180000000.0,182972691.26283583,179241297.34284344,171551928.83469826,179542295.3411793,181366106.2714933,183840974.36908996
46,Comoros,392000000.0,280000000.0,287000000.0,358000000.0,9500000.0,12600000.38,13100000.38,15800000.19,12899999.62,14100000.38,16299999.24,16600000.38,651000000.0,16000000.0,15000000.0,17000000.0,18000000.0,20000000.0,22000000.0,12000000.0,11900334.787348133,12027422.187702976,12043503.726701578,15757903.889853613,12011064.082107935,11954404.943860427
47,Cabo Verde,8000000.0,7000000.0,16000000.0,15000000.0,15000000.0,24000000.0,16000000.0,10000000.0,9000000.0,9000000.0,10000000.0,8000000.0,7000000.0,5000000.0,8000000.0,8000000.0,22000000.0,27000000.0,22000000.0,7000000.0,6381814.295182634,7000000.00000001,5755140.711039691,5118773.162503294,3810071.881682917,5755140.711408206
48,Costa Rica,70000000.0,86000000.0,135000000.0,129000000.0,128000000.0,168000000.0,200000000.0,167000000.0,137000000.0,211000000.0,220000000.0,225000000.0,224000000.0,207000000.0,208000000.0,252000000.0,278000000.0,360000000.0,380000000.0,397000000.0,408820375.0778885,410968301.9343324,412128598.8575925,411898356.1014154,407839918.44285774,408086575.73391736
49,Caribbean small states,267455712.2,276965248.6,322135546.7,434340062.9,501904072.7,398145057.7,423481561.3,371602053.8,340233049.3,347472050.3,296799043.0,494665071.6,471741568.3,591185085.6,532870910.5,474556735.4,601550791.3,653907989.8,380000000.0,397000000.0,405605966.60194457,426551272.8524986,362332676.49251735,367866209.3706155,342278961.90321374,353823503.5653318
54,Czechia,267455712.2,200000000.0,243000000.0,402000000.0,198000000.0,109000000.0,127000000.0,145000000.0,81000000.0,102000000.0,87000000.0,84000000.0,61000000.0,40000000.0,47000000.0,42000000.0,68000000.0,102000000.0,145000000.0,65000000.0,75413130.61660889,80654532.24073753,81859028.43341868,93705031.33470415,111990573.52111447,104615351.6478909
55,Germany,4613000000.0,6498000000.0,7549000000.0,9090000000.0,10346000000.0,11564000000.0,13032000000.0,14050000000.0,11438000000.0,13300000000.0,13682000000.0,12994000000.0,11357000000.0,8453000000.0,7866000000.0,7489000000.0,7427000000.0,8303000000.0,8134000000.0,65000000.0,73048041.10439073,68776561.78953998,76757086.44449289,102224076.1246115,191626292.49994168,223339208.25019106
59,Dominican Republic,134000000.0,134000000.0,136000000.0,138000000.0,159000000.0,162000000.0,205000000.0,205000000.0,164000000.0,267000000.0,293000000.0,291000000.0,297000000.0,310000000.0,340000000.0,379000000.0,410000000.0,457000000.0,436000000.0,230000000.0,234055553.90838212,235498688.83599013,235392013.54872328,235710014.75915232,236378927.516994,237827725.1092892
60,Algeria,134000000.0,134000000.0,136000000.0,138000000.0,290000000.0,65000000.0,126000000.0,145000000.0,118000000.0,115000000.0,68000000.0,69000000.0,60000000.0,71000000.0,77000000.0,82000000.0,52000000.0,44000000.0,32000000.0,38000000.0,38747880.98083519,40498049.99086169,40448370.38721883,40926491.12347591,40351311.717999905,40077010.120624155
62,Early-demographic dividend,12117051682.0,11138667685.0,10570368313.0,11933045882.0,15135466382.0,16336629179.0,19262272817.0,23378873051.0,19699819270.0,22606050290.0,25127345387.0,26678269269.0,29173637333.0,28986799202.0,28731492490.0,29934825116.0,33720269931.0,35482399897.0,36094582024.0,38000000.0,50555794.17972937,20594873.991773903,12383662.145566873,5794869.110238931,6119861.771578263,6597389.182859077
64,Europe & Central Asia (excluding high income),1471591831.0,1643167560.0,2091904082.0,2836278784.0,3318010638.0,4159510814.0,5093642971.0,6862358441.0,5696809290.0,6494233801.0,7599546757.0,8819456310.0,9368538317.0,8273575329.0,6349606100.0,7384183748.0,8920313270.0,9724420726.0,9842397099.0,38000000.0,48534712.65354498,24161223.95532045,12479210.11471229,9545079.074797843,16570437.45754796,53636528.70619217
65,Europe & Central Asia,27968592620.0,31254654071.0,35431025578.0,38979753166.0,44302503550.0,47510137171.0,55632440606.0,63824146965.0,54269909869.0,59923850521.0,67431256587.0,66996265800.0,67434193513.0,64990655018.0,55263842568.0,55891437346.0,61677046616.0,66378760224.0,64909883423.0,38000000.0,71799895.42009561,21819902.632632114,23292421.084517952,21810315.115593225,31652663.571441196,162518672.66236266
66,Ecuador,125000000.0,143000000.0,146000000.0,186000000.0,215000000.0,240000000.0,229000000.0,248000000.0,257000000.0,295000000.0,323000000.0,333000000.0,366000000.0,355000000.0,355000000.0,373000000.0,399000000.0,389000000.0,434000000.0,125000000.0,109680300.09791538,102437914.790425,100111711.45326461,93232891.2383395,95401081.67266819,95401081.67266819
67,"Egypt, Arab Rep.",116000000.0,43000000.0,144000000.0,286000000.0,303000000.0,372000000.0,440000000.0,475000000.0,403000000.0,456000000.0,372000000.0,419000000.0,247000000.0,346000000.0,194000000.0,241000000.0,259000000.0,230000000.0,200000000.0,69000000.0,69956186.73434451,74926680.90933457,71980725.41084963,86019140.85397117,76779478.2377565,93316672.89446197
71,Estonia,61000000.0,74000000.0,85000000.0,87000000.0,91000000.0,120000000.0,134000000.0,130000000.0,403000000.0,456000000.0,372000000.0,419000000.0,177000000.0,165000000.0,143000000.0,137000000.0,148000000.0,184000000.0,263000000.0,82000000.0,197306819.58060938,171110661.31532115,185964102.42663956,101762754.80742364,96885052.63805178,87654566.3035086
74,Fragile and conflict affected situations,61000000.0,74000000.0,85000000.0,87000000.0,2874248713.0,3111185349.0,4340437080.0,4827186340.0,5217263153.0,6291735948.0,7147946037.0,8276450643.0,8846369538.0,8450573981.0,8599864332.0,7749799752.0,5856845465.0,8216906279.0,6693435799.0,82000000.0,79421047.93065682,78208339.02563156,76837868.44498771,76223245.51148903,76645177.11745296,76483476.52704117
75,Finland,590000000.0,432000000.0,521000000.0,562000000.0,564000000.0,675000000.0,829000000.0,1033000000.0,832000000.0,963000000.0,1131000000.0,954000000.0,1090000000.0,1021000000.0,990000000.0,1008000000.0,1130000000.0,1151000000.0,1163000000.0,294000000.0,317055960.44828117,266683049.16535687,320275382.95949507,277491375.5782224,297719535.9838472,307761944.14438385
