Country,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Ghana,32.93,14.85,26.63,12.67,15.1,11.68,10.73,16.5,13.14,6.7,7.68,7.07,11.67,15.49,17.15,17.44,12.37,9.84,7.18,9.95,9.97,31.92
Guinea,5.38,2.96,11.04,17.46,31.36,34.7,22.86,18.37,4.68,15.47,21.35,15.23,11.89,9.71,8.15,8.17,8.91,9.83,9.47,10.6,12.6,12.72
"Gambia, The",4.49,8.61,17.03,14.29,4.96,2.06,5.37,4.45,4.55,5.05,4.8,4.64,5.24,6.26,6.81,7.22,8.05,6.52,7.12,5.93,7.37,11.31
Guinea-Bissau,3.25,3.3,-3.47,0.82,3.36,1.95,4.63,10.44,-1.64,1.07,5.05,2.06,0.78,-1.03,1.48,1.5,1.06,1.44,0.25,1.46,3.27,5.52
Equatorial Guinea,8.74,7.58,7.32,4.24,5.64,4.47,2.8,4.65,5.74,5.32,4.8,3.44,3.18,4.3,1.7,1.4,0.75,1.08,1.21,4.77,-0.09,5.14
Greece,3.37,3.63,3.53,2.9,3.55,3.2,2.89,4.15,1.21,4.71,3.33,1.5,-0.92,-1.31,-1.74,-0.83,1.14,0.63,0.52,-1.25,1.22,9.6
Grenada,1.67,1.07,2.15,2.31,3.48,4.25,3.86,8.03,-0.31,3.44,3.03,2.41,-0.04,-0.98,-0.58,1.72,0.91,0.81,0.6,-0.74,1.22,1.22
Guatemala,7.28,8.13,5.6,7.57,9.1,6.56,6.83,11.36,1.87,3.86,6.21,3.78,4.34,3.42,2.39,4.45,4.43,3.75,3.7,3.21,4.26,6.89
Guyana,2.65,5.36,5.98,4.67,6.93,6.68,12.2,8.1,2.95,4.3,4.41,2.39,1.91,0.68,-0.87,0.83,1.94,1.27,2.09,0.72,3.32,7.59
"Hong Kong SAR, China",-1.61,-3.05,-2.6,-0.35,0.92,2.01,2.03,4.3,0.58,2.31,5.28,4.06,4.32,4.44,3,2.42,1.48,2.41,2.87,0.33,1.57,1.88
Honduras,9.63,7.71,7.66,8.11,8.8,5.58,6.95,11.39,5.5,4.71,6.76,5.2,5.15,6.13,3.16,2.72,3.93,4.34,4.36,3.47,4.48,9.09
Croatia,3.78,1.67,1.77,2.05,3.32,3.18,2.9,6.08,2.37,1.03,2.26,3.41,2.22,-0.21,-0.46,-1.12,1.13,1.5,0.77,0.28,2.55,10.78
Haiti,16.49,9.35,26.73,28.32,16.76,14.21,8.96,14.38,3.43,4.14,7.39,6.78,6.78,3.94,7.52,13.38,14.74,12.89,17.31,22.8,15.94,26.82
Hungary,9.12,5.27,4.66,6.74,3.56,3.93,7.96,6.04,4.21,4.86,3.93,5.65,1.73,-0.23,-0.06,0.39,2.41,2.85,3.37,3.33,5.11,14.6
Indonesia,11.5,11.9,6.76,6.06,10.45,13.11,6.41,10.23,4.39,5.13,5.36,4.28,6.41,6.39,6.36,3.53,3.81,3.2,2.82,1.92,1.56,4.21
India,3.78,4.3,3.81,3.77,4.25,5.8,6.37,8.35,10.88,11.99,8.86,9.31,10.91,6.35,5.87,4.94,3.6,4.86,4.76,6.62,4.89,6.69
Ireland,4.87,4.61,3.49,2.2,2.43,3.93,4.9,4.06,-4.48,-0.92,2.56,1.7,0.51,0.18,-0.29,0.01,0.25,0.49,0.88,-0.33,2.36,7.8
"Iran, Islamic Rep.",11.54,15.83,15.57,15.32,10.25,12,18.41,25.3,10.82,12.3,21.53,30.57,36.58,16.61,12.47,7.26,9.64,17.95,41.02,36.5,43.39,42.44
Iraq,16.4,19.3,33.6,27,36.96,53.25,30.82,2.67,-2.19,2.44,5.6,6.09,1.88,2.24,1.39,0.52,0.1,0.63,-0.2,0.57,6.04,5.14
Iceland,6.41,5.2,2.06,3.16,3.99,6.69,5.05,12.69,12,5.4,4,5.19,3.87,2.04,1.63,1.7,1.76,2.68,3.01,2.85,4.44,8.3
Israel,1.15,5.74,0.72,-0.41,1.31,2.12,0.47,4.59,3.33,2.71,3.47,1.68,1.57,0.49,-0.63,-0.54,0.24,0.81,0.84,-0.59,1.49,4.4
Italy,2.79,2.47,2.67,2.21,1.99,2.09,1.83,3.35,0.77,1.53,2.78,3.04,1.22,0.24,0.04,-0.09,1.33,1.14,0.63,-0.14,1.87,8.2
Jamaica,6.84,7.06,10.13,13.53,15.1,8.52,9.29,22.01,9.58,12.59,7.53,6.88,9.35,8.3,3.68,2.35,4.38,3.73,3.91,5.23,5.86,10.35
Jordan,1.78,1.84,2.35,2.63,3.45,6.23,4.71,13.97,-0.73,4.86,4.18,4.52,4.83,2.91,-0.87,-0.78,3.32,4.46,0.68,0.33,1.35,4.23
Japan,-0.74,-0.92,-0.26,-0.01,-0.28,0.25,0.06,1.38,-1.35,-0.72,-0.27,-0.05,0.35,2.76,0.79,-0.12,0.47,0.98,0.48,-0.02,-0.23,2.5
