Country,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Oman,-0.84,-0.28,0.22,0.61,1.94,3.51,5.81,12.41,3.47,3.26,4.04,2.94,1.05,1.03,0.07,1.11,1.6,0.88,0.13,-0.9,1.55,2.81
Pakistan,3.58,3.7,2.87,7.44,9.06,7.92,7.6,19.75,12.16,12.93,11.92,9.68,7.69,7.2,2.55,3.75,4.15,5.07,6.74,9.74,9.5,19.87
Panama,0.33,1.22,1.43,0.18,2.87,2.43,4.18,8.72,2.42,3.53,5.84,5.69,4.05,2.63,0.13,0.76,0.88,0.77,-0.35,-1.55,1.63,2.86
Peru,1.98,0.2,2.26,3.66,1.61,2,1.78,5.79,2.93,1.53,3.37,3.66,2.81,3.25,3.55,3.59,2.8,1.32,2.14,1.83,4.27,7.88
Philippines,6.78,3,3.48,5.98,7.69,6.52,2.96,8.17,4.21,3.79,4.72,3.17,2.95,4.17,1.4,1.81,2.85,5.26,2.48,2.64,3.93,5.82
Palau,-0.71,0.09,0.5,0.95,4.08,4.08,3.29,11.9,1.42,1.45,4.69,3.59,3.41,4.15,0.95,-1.03,0.9,1.57,0.61,0.22,0.45,12.2
Papua New Guinea,9.3,11.8,14.71,2.16,1.78,2.37,0.91,10.77,6.91,5.1,4.44,4.54,4.96,5.22,6,6.69,5.43,4.73,3.68,3.37,4.49,6.6
Poland,5.41,1.91,0.68,3.38,2.18,1.28,2.46,4.16,3.8,2.58,4.24,3.56,0.99,0.05,-0.87,-0.66,1.98,1.81,2.31,3.37,5.1,14.3
Puerto Rico,0.58,0.19,1.39,2.54,5.61,5.18,4.23,5.21,0.28,2.47,2.9,1.35,1.06,0.57,-0.75,-0.29,1.75,1.27,0.1,-1.3,2.41,4.39
Portugal,4.37,3.6,3.22,2.37,2.28,3.11,2.45,2.59,-0.84,1.4,3.65,2.77,0.27,-0.28,0.49,0.61,1.56,0.99,0.3,-0.01,1.27,7.8
Paraguay,7.26,10.49,14.22,4.29,6.86,9.52,8.19,10.17,2.59,4.67,8.24,3.68,2.67,5,3.13,4.08,3.6,3.96,2.76,1.77,4.79,9.77
West Bank and Gaza,1.22,5.71,4.4,3,4.11,3.84,1.86,9.89,2.75,3.75,2.88,2.78,1.72,1.73,1.43,-0.22,0.21,-0.2,1.58,-0.74,1.24,
Qatar,1.59,0.17,2.25,6.77,8.88,11.79,13.67,15.12,-4.88,-2.43,1.91,1.86,3.1,3.32,1.86,2.68,0.4,0.22,-0.55,-2.54,2.3,5
Romania,34.43,22.51,15.38,11.86,9,6.6,4.84,7.85,5.58,6.12,5.79,3.34,3.99,1.07,-0.6,-1.55,1.34,4.64,3.83,2.63,5.05,13.8
Russian Federation,21.48,15.79,13.66,10.89,12.69,9.67,9.01,14.11,11.65,6.85,8.44,5.07,6.75,7.82,15.53,7.04,3.68,2.88,4.47,3.38,6.69,13.75
Rwanda,3.36,1.98,7.45,11.98,9.12,8.83,9.08,15.44,10.35,2.31,5.67,6.29,4.22,1.78,2.51,5.72,4.84,1.36,2.43,9.85,-0.39,17.7
Saudi Arabia,-1.12,0.25,0.61,0.52,0.48,2.21,4.17,9.87,5.06,5.34,5.83,2.87,3.51,2.24,1.22,2.05,-0.85,2.47,-2.09,3.45,3.06,2.5
Sudan,1.93,22.23,6.49,9.66,8.51,7.2,14.75,14.3,11.26,12.98,18.1,35.56,36.52,36.91,16.91,17.75,32.35,63.29,50.99,17087.72,359.09,138.81
Senegal,3.05,2.4,-0.05,0.51,1.71,2.11,5.86,6.34,-2.25,1.23,3.4,1.42,0.71,-1.08,0.13,0.84,1.32,0.46,1.02,2.55,2.18,9.69
Singapore,1.01,-0.39,0.49,1.67,0.47,0.96,2.11,6.62,0.59,2.82,5.24,4.58,2.36,1.03,-0.52,-0.54,0.58,0.45,0.56,-0.18,2.3,6.02
Solomon Islands,7.63,9.37,10.08,6.92,7.53,11.22,7.66,17.32,7.11,0.95,7.44,5.91,5.39,5.17,-0.56,0.5,0.48,2.66,1.83,2.96,-0.11,3.74
Sierra Leone,2.57,0.12,3.99,12.92,13.7,10.53,16.97,8.2,7.47,7.89,6.1,6.59,5.52,4.64,6.69,10.88,18.22,16.03,14.8,13.45,11.87,25.91
El Salvador,3.74,1.87,2.12,4.45,4.69,4.03,4.59,7.26,0.54,1.18,5.12,1.73,0.76,1.14,-0.73,0.61,1.01,1.09,0.07,-0.37,3.47,7.2
San Marino,,,1.34,1.43,1.69,2.1,2.54,4.1,2.42,2.6,2,2.83,1.6,1.11,0.15,0.57,1,1.73,0.95,0.22,0.76,2.08
Serbia,80.74,8.87,2.9,10.6,16.25,10.73,6,12.39,8.13,6.14,11.14,7.33,7.7,2.1,1.39,1.12,3.13,1.95,1.85,1.58,4.09,11.98
South Sudan,,,,,,,,,,,,45.08,-0.04,1.66,52.81,379.85,187.87,83.49,51.19,29.68,30.23,17.6
So Tom and Principe,9.22,10.13,9.79,13.28,17.15,23.08,18.55,31.99,16.96,13.34,14.32,10.64,8.11,6.99,5.26,5.43,5.69,7.87,8.36,7.87,8.14,15.05
Suriname,34.37,15.52,23,9.13,13.98,11.28,6.43,14.67,-0.3,6.95,17.68,5.01,1.92,3.38,6.9,55.5,22.02,6.94,4.39,49.77,59.11,54.26
Slovak Republic,7.33,3.13,8.55,7.55,2.71,4.48,2.76,4.6,1.62,0.96,3.92,3.61,1.4,-0.08,-0.33,-0.52,1.39,2.51,2.77,1.94,3.15,12.8
Slovenia,8.38,7.48,5.54,3.59,2.45,2.46,3.66,5.65,0.84,1.8,1.8,2.6,1.77,0.2,-0.53,-0.05,1.43,1.74,1.63,-0.05,1.92,8.8
Sweden,2.41,2.16,1.93,0.37,0.45,1.36,2.21,3.44,-0.49,1.16,2.96,0.89,-0.04,-0.18,-0.05,0.98,1.87,1.95,1.64,0.5,2.16,8.4
Swaziland,5.94,12.02,7.29,3.44,4.9,5.2,8.08,12.66,7.45,4.51,6.11,8.94,5.62,5.68,4.95,7.85,6.22,4.81,2.58,4.11,3.72,4.87
Seychelles,6,0.2,3.3,3.9,0.65,-1.86,5.32,36.97,31.75,-2.4,2.56,7.11,4.34,1.39,4.04,-1.01,2.86,3.7,1.81,3.9,9.77,2.63
Syrian Arab Republic,3.4,-0.52,5.8,4.43,7.24,10.39,4.68,15.15,2.8,4.4,4.75,36.7,90,29,26,25,,,,,,
Chad,12.43,5.19,-1.75,-4.8,3.33,8.07,-7.44,8.31,10.12,-2.11,1.86,7.7,0.23,1.67,6.76,-1.12,-0.9,4.27,-0.97,2.8,-0.77,5.11
Togo,3.92,3.06,-0.93,0.39,6.78,2.23,0.95,8.69,3.71,1.45,3.56,2.58,1.83,0.19,1.78,0.86,-0.22,0.94,0.69,1.83,4.55,7.61
Thailand,1.38,0.7,1.8,2.77,4.55,4.65,2.24,5.44,-0.84,3.27,3.8,3.01,2.19,1.89,-0.9,0.19,0.67,1.07,0.71,-0.85,1.23,6.08
Tajikistan,38.55,12.23,16.26,7.13,7.09,9.99,13.14,20.51,7.44,6.9,12.47,5.83,5.04,6.03,5.47,6.04,7.31,3.83,7.79,8.59,8.92,7.67
Turkmenistan,11.63,8.75,5.59,5.89,10.71,8.16,6.26,14.54,-2.67,4.45,5.28,5.31,6.81,6.01,7.41,3.65,8.04,13.3,5.09,7.58,14.95,17.5
Tonga,8.29,10.36,11.64,10.97,8.67,6.15,5.84,10.45,1.43,3.54,6.27,1.15,2.11,1.17,-1.05,2.58,7.37,2.91,3.29,0.24,1.41,8.52
Trinidad and Tobago,5.6,4.12,3.78,3.76,6.84,8.31,7.86,12.07,7.06,10.53,5.08,9.29,5.15,5.69,4.66,3.09,1.88,1.03,1,0.6,2.06,5.03
Tunisia,1.94,2.76,2.75,3.61,2.02,4.11,3.42,4.92,3.59,4.29,3.22,4.62,5.32,4.63,4.45,3.61,5.31,7.27,6.72,5.63,5.71,8.31
Turkey,54.4,44.96,21.6,8.6,8.18,9.6,8.76,10.44,6.25,8.57,6.47,8.89,7.49,8.85,7.67,7.78,11.14,16.33,15.18,12.28,19.6,72.31
Tuvalu,1.53,5.05,2.91,2.37,3.22,4.19,2.29,10.44,-0.28,-1.85,0.5,1.42,2.01,1.07,3.14,3.51,4.12,2.14,2.18,1.57,2.94,5.71
Tanzania,5.15,4.55,4.43,4.14,4.36,7.25,7.03,10.28,12.14,7.19,12.69,15.97,7.84,6.13,5.61,5.18,5.32,3.51,3.45,3.29,3.69,4.35
Uganda,1.94,-0.3,8.72,3.67,8.61,7.22,6.09,12.03,13.01,4,18.66,14.03,5.47,4.3,3.69,5.17,5.63,2.62,2.87,3.79,2.21,7.2
Ukraine,11.91,0.72,5.22,9.03,13.53,9.09,12.89,25.2,15.86,9.33,7.95,0.59,-0.23,12.15,48.57,13.95,14.44,10.94,7.89,2.73,9.36,20.18
Uruguay,4.37,13.96,19.4,9.16,4.7,6.39,8.11,7.88,7.06,6.7,8.1,8.1,8.58,8.88,8.67,9.63,6.22,7.61,7.88,9.76,7.75,9.11
United States,2.83,1.59,2.27,2.68,3.39,3.23,2.85,3.84,-0.36,1.64,3.16,2.07,1.46,1.62,0.12,1.26,2.14,2.44,1.81,1.23,4.7,8
Uzbekistan,27.25,27.29,12.49,7.32,10.7,13.11,11.15,13.13,12.3,12.3,12.45,11.9,11.7,9.08,8.46,7.98,13.88,17.68,14.53,12.86,10.69,11.32
St. Vincent and the Grenadines,1.36,0.75,0.13,2.85,3.44,3.02,6.99,10.12,0.37,0.75,3.19,2.6,0.81,0.19,-1.73,-0.16,2.15,1.24,0.91,-0.61,1.56,5.83
"Venezuela, RB",12.53,22.43,31.09,21.75,15.95,13.65,18.7,30.37,27.07,28.17,26.08,21.06,40.59,62.14,121.4,254.39,438.12,65374.08,19906.02,2355.15,1588.51,220.84
Vietnam,-0.31,4.08,3.23,7.76,8.28,7.4,8.31,23.11,6.73,9.2,18.67,9.07,6.58,4.09,0.64,2.68,3.52,3.54,2.8,3.22,1.83,3.16
Vanuatu,3.58,1.96,3.02,1.42,1.2,2.04,3.93,4.84,4.3,2.76,0.87,1.35,1.46,0.8,2.48,0.84,3.09,2.31,2.75,2.92,2.34,4.58
Samoa,1.89,7.43,4.37,7.85,7.82,3.23,4.48,6.27,14.64,-0.2,2.88,6.19,-0.21,-1.24,1.92,0.13,1.3,4.2,2.19,-1.57,-3.01,8.75
"Yemen, Rep.",11.92,12.24,10.83,12.49,9.87,10.85,7.91,18.98,3.67,11.17,19.54,9.89,10.97,8.1,39.4,5,30.4,27.6,10,26.18,45.7,43.85
South Africa,5.7,9.49,5.68,-0.69,2.06,3.24,6.18,10.06,7.26,4.06,5.02,5.72,5.78,6.14,4.51,6.59,5.27,4.5,4.13,3.22,4.61,7
Zambia,21.24,22.3,21.31,17.96,18.3,9.06,10.64,12.44,13.38,8.5,6.44,6.59,6.99,7.82,10.11,17.86,6.58,7.49,9.8,15.73,22.02,10.99
Zimbabwe,-37.2,-34.44,-8.56,113.57,-31.52,32.97,-72.73,156.96,6.22,3.05,3.47,3.72,1.63,-0.21,-2.41,-1.57,0.91,10.61,255.29,557.21,98.55,284.94
British Virgin Islands,,,,,,,,,,,,,1.5,1.9,0.8,1.1,1.2,2.1,1.4,0.4,2.8,
Kosovo,,,-1.09,-1.06,-1.38,0.61,4.37,9.34,-2.4,3.48,7.34,2.47,1.77,0.43,-0.53,0.27,1.49,1.05,2.68,0.19,3.36,
Liechtenstein,,,,,,,,,,,,-0.7,-0.3,0,-1.11,-0.41,0.51,0.92,0.4,-0.7,0.51,2.83
Martinique,,,,,,,,,,,,,,,,,,,,,,
Montserratit,4.75,3.98,1.16,3.1,2.67,1.93,2.71,4.9,2.79,2.09,3.67,4.77,0.87,-0.38,-1.15,-0.25,1.19,1.31,-1.07,-1.89,1.67,
New Caledonia,2.32,1.81,1.11,0.84,1.23,2.95,0.98,2.95,0.93,2.7,2.43,1.75,1.28,0.18,0.57,0.58,1.38,1.33,0.25,-0.53,0.62,
Niue,,,,,,,,,,,,,,,,,,,,,,
Saint Helena,,,,,2.9,4.3,4.6,8,8,4.9,6.2,5.5,1.7,2.1,1.9,2.6,5.1,3.8,3.3,1.1,1.3,
Timor-Leste,,,7.17,3.24,1.11,3.94,10.3,9.06,0.67,6.77,13.5,11.8,10.99,0.85,0.65,-1.47,0.52,2.29,0.96,,,
Turks and Caicos Islands,,,,,3,3.5,3.7,3.9,4.1,3.2,5.2,3.1,2.5,2.3,2.2,2,2.1,2.1,2.2,2.3,,
