,Country,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
17,Belgium,6452000.0,6720000.0,6690000.0,6710000.0,6747000.0,6995000.0,7045000.0,7165000.0,6815000.0,7186000.0,7494000.0,7560000.0,7684000.0,7887000.0,8355000.0,7481000.0,8385000.0,9119000.0,9343000.0,2584000.0,2545057.4986943686,2047039.3151529003,1955992.2203055443,1797654.246219888,1570171.1675854756,1164260.9005669742
18,Benin,1155000.0,853000.0,850000.0,845000.0,960000.0,975000.0,1010000.0,1027000.0,6815000.0,7186000.0,222000.0,232000.0,252000.0,265000.0,279000.0,292000.0,307000.0,322000.0,337000.0,2584000.0,4169501.917208556,1772942.1435026717,1792257.7447931464,1829079.1339163072,1851846.3565451386,1875441.7052278672
19,Burkina Faso,128000.0,150000.0,163000.0,222000.0,245000.0,264000.0,289000.0,272000.0,269000.0,274000.0,238000.0,237000.0,218000.0,191000.0,163000.0,152000.0,143000.0,144000.0,143000.0,67000.0,66949.57046001429,67925.86181536959,67955.26338838032,68541.42677309384,69479.23568839271,70620.52328394946
20,Bangladesh,207000.0,207000.0,245000.0,271000.0,208000.0,200000.0,289000.0,467000.0,267000.0,139000.0,157000.0,160000.0,104000.0,134000.0,126000.0,182000.0,237000.0,267000.0,323000.0,67000.0,432727.03566245106,358763.40077556897,348461.2897558274,676297.6452172619,457830.1286795279,503334.30250790354
21,Bulgaria,5104000.0,5563000.0,6241000.0,6982000.0,7282000.0,7499000.0,7726000.0,8533000.0,7873000.0,8374000.0,8713000.0,8867000.0,9192000.0,9409000.0,9317000.0,10604000.0,11596000.0,12368000.0,12552000.0,4973000.0,5116464.423874156,4818483.68374751,4692511.251767535,4443929.969311217,4289879.22488311,4354090.836432095
22,Bahrain,4388000.0,4831000.0,4844000.0,5667000.0,6313000.0,7289000.0,7833000.0,8631000.0,8861000.0,11952000.0,6732000.0,8062000.0,9163000.0,10452000.0,9670000.0,10158000.0,11374000.0,12045000.0,11061000.0,1909000.0,1103833.4588927636,2900015.242766419,2141141.353527241,1726213.771440474,1383271.052733946,1576658.8903824405
23,"Bahamas, The",4183000.0,4406000.0,4594000.0,5004000.0,4779000.0,4731000.0,4601000.0,4394000.0,4645000.0,5255000.0,5588000.0,5940000.0,6151000.0,6320000.0,6112000.0,6265000.0,6136000.0,6622000.0,7250000.0,1794500.0,3541033.2430987847,4471839.678418178,5639737.55307816,6439326.506693128,7137615.727476819,6285614.17208742
24,Bosnia and Herzegovina,139000.0,160000.0,165000.0,190000.0,217000.0,256000.0,306000.0,322000.0,311000.0,365000.0,392000.0,439000.0,529000.0,536000.0,678000.0,778000.0,923000.0,1053000.0,1198000.0,197000.0,197822.3622545358,198292.09937117164,199039.7447506852,200277.1781366602,200364.6953040578,201935.75494201618
25,Belarus,1852000.0,1907000.0,1729000.0,1816000.0,4738000.0,5276000.0,5283000.0,5262000.0,4872000.0,5674000.0,5877000.0,6130000.0,6242000.0,5375000.0,4386000.0,10935000.0,11060000.0,11502000.0,11832000.0,3598000.0,3621140.945145151,3631982.677438846,3645025.0144414157,3650642.056151948,3604507.466995184,3542709.569972284
26,Belize,385000.0,694000.0,999000.0,1329000.0,1037000.0,903000.0,880000.0,846000.0,941000.0,1054000.0,1106000.0,1028000.0,1022000.0,1289000.0,1299000.0,1391000.0,1441000.0,1697000.0,1674000.0,487000.0,517269.0248468288,524147.27155702765,513737.1853093093,512912.9576407603,546630.2846763382,547790.2583812814
27,Bermuda,458000.0,484000.0,483000.0,478000.0,517000.0,635000.0,660000.0,550000.0,554000.0,580000.0,652000.0,610000.0,576000.0,580000.0,597000.0,642000.0,688000.0,766000.0,805000.0,51400.00153,71245.7692782888,146277.31237220962,97140.99362854425,68278.26031691134,71245.76927828856,85092.00825921596
28,Bolivia,316000.0,334000.0,427000.0,480000.0,524000.0,521000.0,573000.0,594000.0,599000.0,679000.0,711000.0,798000.0,798000.0,871000.0,882000.0,961000.0,1109000.0,1142000.0,1239000.0,323299.9878,318682.0875393269,317107.32069408253,313193.9906521023,313193.99065210286,310258.8020790577,309840.2308248183
29,Brazil,4773000.0,3785000.0,4133000.0,4794000.0,5358000.0,5017000.0,5026000.0,5050000.0,4802000.0,5161000.0,5433000.0,5677000.0,5813000.0,6430000.0,6306000.0,6547000.0,6589000.0,6621000.0,6353000.0,323299.9878,320965.8426664699,315518.6285315557,310932.7969677512,308489.27395788045,298290.4892884348,300232.6027216482
30,Barbados,1035000.0,1021000.0,1090000.0,1273000.0,1111000.0,1102000.0,1191000.0,1165000.0,1154000.0,1197000.0,1187000.0,1053000.0,1079000.0,1079000.0,1179000.0,1227000.0,1345000.0,1356000.0,966000.0,323299.9878,322850.60779898067,322989.6686294916,324981.7796898469,324575.1414278402,324575.1414278402,323101.8070184738
32,Bhutan,6400.000095,5599.999905,6300.000191,9199.999809,13600.00038,17299.99924,21000.0,28000.0,23000.0,41000.0,66000.0,105000.0,116000.0,133000.0,155000.0,210000.0,255000.0,274000.0,316000.0,29799.99924,21330.82706077758,14051.91921355616,9352.932511995345,8570.634825084484,7602.229915223298,6647.466674239543
34,Central African Republic,9899.999619,2900.000095,5699.999809,8199.999809,12000.0,13800.00019,17100.00038,30600.00038,52400.00153,53799.99924,65400.00153,70800.00305,83500.0,95699.99695,120500.0,82000.0,107000.0,109000.0,87000.0,29799.99924,25559.89616401706,24237.872559560754,23720.427380505254,22679.45730742777,21853.609899132665,20525.913753710673
35,Canada,47147000.0,44896000.0,38903000.0,38845000.0,36160000.0,33390000.0,30373000.0,27370000.0,24696000.0,25621000.0,25066000.0,25318000.0,25167000.0,25558000.0,27555000.0,30142000.0,31081000.0,31274000.0,32430000.0,29799.99924,12547.066712266072,9417.882531217861,10736.47664645782,9927.279348982727,12148.878489510598,32549.183835498003
36,Central Europe and the Baltics,182538824.4,173510081.4,177955845.4,200553517.6,208136165.2,215062885.9,222544621.8,217002009.9,205767642.4,211503443.3,219665361.6,230513827.8,239484451.8,247176982.1,265484205.1,282858334.2,293799709.7,301502122.5,314638365.1,29799.99924,22316.711304762062,34190.62894767376,58855.531738261074,90489.6241831614,129212.12762720628,289019.57386794774
37,Switzerland,7455000.0,6868000.0,6530000.0,200553517.6,7229000.0,7863000.0,8448000.0,8608000.0,8294000.0,8628000.0,8534000.0,8566000.0,8967000.0,9158000.0,9305000.0,10402000.0,11133000.0,11715000.0,11818000.0,29799.99924,29800.139156005265,29799.47871474436,29799.704357349703,29802.462726303052,29803.73356157723,29804.69375412182
40,China,89013000.0,97908000.0,91662000.0,109038000.0,120292000.0,124942000.0,131873000.0,130027000.0,126476000.0,133762000.0,135423000.0,132405000.0,129078000.0,128499000.0,133820000.0,141774000.0,153260000.0,158606000.0,162538000.0,30402000.0,31016809.421061683,31288602.241873596,30794026.02949483,30244966.918464325,30148992.380907834,31026316.682809774
43,"Congo, Dem. Rep.",55000.0,28000.0,35000.0,36000.0,61000.0,55000.0,47000.0,50000.0,53000.0,81000.0,186000.0,167000.0,191000.0,334000.0,354000.0,351000.0,153260000.0,158606000.0,162538000.0,30402000.0,150418148.32356408,2365153590.392332,1654859951.8734765,2582507684.54224,16461466048.829842,19960775256.621464
45,Colombia,788000.0,661000.0,668000.0,840000.0,981000.0,2096000.0,2381000.0,2545000.0,2649000.0,1701000.0,2356000.0,2434000.0,2595000.0,2866000.0,3371000.0,3675000.0,4056000.0,4397000.0,4531000.0,1396000.0,1391191.2705024974,1395077.7562359197,1395466.9516754842,1396232.623433047,1397420.8733324024,1399364.4771752758
46,Comoros,19399.99962,18899.99962,20600.00038,23299.99924,25899.99962,28500.0,15199.99981,14800.00019,11300.00019,15300.00019,18799.99924,22799.99924,21899.99962,22799.99924,23600.00038,26799.99924,28000.0,35900.00153,45099.99847,7000.0,6974.7784629710995,6820.416959615429,6678.970427834639,6708.2569020856845,6678.970427834639,6653.994276061035
47,Cabo Verde,134000.0,126000.0,150000.0,157000.0,198000.0,242000.0,267000.0,285000.0,287000.0,336000.0,428000.0,482000.0,503000.0,494000.0,520000.0,598000.0,668000.0,710000.0,758000.0,180000.0,173345.7252367732,164007.271145881,159608.21139277998,158058.28434783657,158712.61644258077,156860.70461656395
48,Costa Rica,1320000.0,1335000.0,1514000.0,1771000.0,1959000.0,2071000.0,2302000.0,2409000.0,2309000.0,2495000.0,2526000.0,2542000.0,2641000.0,2760000.0,2899000.0,3204000.0,3231000.0,3313000.0,3366000.0,1146500.0,1132997.1061685781,1128281.5727847363,1125877.9314006602,1111442.5138647088,1095020.2872664607,1076997.734705074
49,Caribbean small states,10923386.39,11075114.14,12223187.43,13943780.1,13151761.26,13524000.0,13774000.0,13494000.0,14132000.0,14853000.0,15421000.0,15540000.0,15674000.0,16644000.0,17200000.0,17638000.0,18488000.0,19669834.92,19819087.26,1146500.0,1391496.780576569,1500985.923683046,1524454.8058244204,1551101.862897554,1750944.4983406905,1871003.1772407768
50,Cuba,1775000.0,1686000.0,1906000.0,2049000.0,2319000.0,2221000.0,2152000.0,2348000.0,2430000.0,2532000.0,2716000.0,2847000.0,2862000.0,3014000.0,3540000.0,4009000.0,4654000.0,4712000.0,4276000.0,1086000.0,970785.0066699823,874650.6362084893,815499.715255999,809154.2724735903,749244.9527600959,589895.9970809328
51,Curacao,519000.0,545000.0,508000.0,452000.0,510000.0,572000.0,664000.0,773000.0,808000.0,762000.0,837000.0,908000.0,1071000.0,1129000.0,1072000.0,944000.0,1058000.0,1210000.0,1293000.0,1086000.0,1080451.6892740186,1117314.9230408284,1150303.4617468284,1220217.7044963294,1243434.026692012,1220624.745946226
52,Cayman Islands,1549000.0,1878000.0,2113000.0,1953000.0,1967000.0,2197000.0,2008000.0,1856000.0,1792000.0,1886000.0,1710000.0,1829000.0,1721000.0,1993000.0,2102000.0,2097000.0,2147000.0,2384000.0,2334000.0,660000.0,678940.9659190478,571158.543931589,643152.0234389644,577657.7795912505,748378.6633410441,822106.6849498694
53,Cyprus,2841000.0,2495000.0,2416000.0,2478000.0,2657000.0,2629000.0,2671000.0,2631000.0,2370000.0,2450000.0,2626000.0,2635000.0,2626000.0,2558000.0,2780000.0,3286000.0,3750000.0,4024000.0,4117000.0,660000.0,583609.6270003404,657836.8735233065,661732.6509445732,657836.8735233065,628715.5820247475,725824.6226114366
54,Czechia,2841000.0,2495000.0,20108000.0,23808000.0,24747000.0,25102000.0,22625000.0,21850000.0,23285000.0,21941000.0,22810000.0,25750000.0,26332000.0,27166000.0,29604000.0,32519000.0,34701000.0,36268000.0,37202000.0,660000.0,660206.4709700769,662139.2237884185,668208.2947937156,669333.212014697,670905.7665848098,675259.2690171566
55,Germany,17861000.0,17969000.0,18399000.0,20137000.0,21500000.0,23569000.0,24421000.0,24884000.0,24220000.0,26875000.0,28374000.0,30411000.0,31545000.0,32999000.0,34970000.0,35555000.0,37452000.0,38881000.0,39563000.0,12449000.0,11996219.57317102,11686875.90914515,11303306.306400038,11105865.730309691,10867575.24288231,10568311.293258782
57,Dominica,276000.0,208000.0,254000.0,466000.0,381000.0,465000.0,437000.0,468000.0,608000.0,595000.0,418000.0,348000.0,311000.0,370000.0,358000.0,356000.0,230000.0,199000.0,322000.0,140000.0,135024.5989075839,142404.43597979867,146392.86955788673,148894.14479700336,145046.5947584213,145769.13234076218
58,Denmark,276000.0,208000.0,21119000.0,22054000.0,26927000.0,26936000.0,27138000.0,26870000.0,26571000.0,26730000.0,25811000.0,26402000.0,26516000.0,28070000.0,28209000.0,28692000.0,30736000.0,30801000.0,33093000.0,15595000.0,15594889.237050055,15594147.448917711,15594627.44992155,15594718.80334367,15595926.416732347,15596031.160547994
59,Dominican Republic,3090000.0,3058000.0,3680000.0,3907000.0,3981000.0,4268000.0,4365000.0,4455000.0,4489000.0,4478000.0,4654000.0,4901000.0,5114000.0,5576000.0,6129000.0,6769000.0,7296000.0,7551000.0,7550000.0,2748000.0,2749836.745555738,2763626.2868477004,2782232.410834165,2797633.1828547646,2829206.52662122,2864133.790043464
60,Algeria,901000.0,988000.0,1166000.0,1234000.0,1443000.0,1638000.0,1743000.0,1772000.0,1912000.0,2070000.0,2395000.0,2634000.0,2733000.0,2301000.0,1710000.0,2039000.0,2451000.0,2657000.0,2371000.0,591000.0,542645.0144608365,500881.4329148675,475389.0387015143,465853.7177893393,512016.72790501127,602672.8243229913
61,East Asia & Pacific (excluding high income),125452248.3,136489562.5,125706247.6,152728066.4,165948098.2,174721883.5,188386803.7,188916100.2,186368423.3,200103460.8,208057749.3,211756290.5,217301338.5,219499632.7,232372388.2,246129470.4,267094231.8,281129641.0,292842169.4,591000.0,592241.6692638426,593084.4586448676,593465.811970822,594025.6997861222,594243.8609916068,595480.5955548284
62,Early-demographic dividend,184896885.3,190886934.7,186159242.8,208858479.3,220351005.2,222512638.3,237447686.6,253965565.9,245231108.2,260218031.2,251178036.0,266770386.7,276291315.7,298030473.7,305091375.5,301876958.5,326787964.8,350576700.2,369336988.9,591000.0,401011.70655779116,704724.6954566418,269734.5253267546,154200.2409333309,46085.70376971824,31725.408341419352
63,East Asia & Pacific,178795259.5,194873220.6,180513147.2,224750642.9,243811863.6,259502080.9,283352757.1,281400380.9,276931048.2,306945190.1,324630664.8,341731569.3,359795035.6,378067655.5,395583346.1,422310009.8,449587158.6,480202482.1,490804002.1,591000.0,639824.7408501586,673420.4799837716,705755.4556295587,739758.9570972681,774006.2996308233,806700.7642765634
64,Europe & Central Asia (excluding high income),63741444.7,69761846.86,73537448.52,83794261.44,92511429.35,95695880.82,113529421.7,123903647.8,115245401.6,119087288.4,132498762.1,142150827.9,151065267.8,140838191.8,142759135.2,134101499.9,149456827.8,169084765.5,180880471.5,591000.0,762896.3976249599,383726.9099332331,243993.6221861273,164922.5776895195,259013.57795050732,237375.83307482986
65,Europe & Central Asia,714973123.4,723771886.8,736933750.1,784677456.1,815823430.7,854328332.1,883815853.7,884795564.2,854438373.7,869779367.1,918783439.7,944560917.6,980013821.1,997036505.3,1026805426.0,1055431735.0,1112981075.0,1157868195.0,1199188499.0,591000.0,591978.4647810516,588850.9982759665,587278.465544445,585190.9148787674,584217.8157208875,582559.0877452508
66,Ecuador,641000.0,683000.0,761000.0,819000.0,860000.0,841000.0,937000.0,1005000.0,968000.0,1047000.0,1141000.0,1272000.0,1364000.0,1695000.0,1676000.0,1569000.0,1806000.0,2535000.0,2108000.0,591000.0,533219.3043718062,429610.92864320474,326934.6141701474,274315.49870335875,158906.3060622673,163472.12159869008
67,"Egypt, Arab Rep.",4648000.0,5192000.0,6044000.0,8104000.0,8608000.0,9083000.0,11091000.0,12835000.0,12536000.0,14731000.0,9845000.0,11532000.0,9464000.0,9878000.0,9328000.0,5399000.0,8292000.0,11346000.0,13026000.0,591000.0,397109.2889998758,1270508.5548582652,804920.8968634265,1423782.1360708165,1258298.3175118181,1484514.4019481868
68,Euro area,4648000.0,5192000.0,6044000.0,453619920.7,462527032.5,489625062.8,494727795.3,495768984.0,483880961.1,491730015.7,514734250.2,520092217.3,539066000.0,555108000.0,571048000.0,590598000.0,617852000.0,638607601.6,655573447.5,591000.0,590963.4696263612,591167.6737857547,591213.934029735,591374.032379995,591505.0885477011,591631.6401244731
69,Eritrea,113000.0,101000.0,80000.0,87000.0,83000.0,78000.0,81000.0,70000.0,79000.0,84000.0,107000.0,129000.0,141000.0,119000.0,114000.0,142000.0,617852000.0,638607601.6,655573447.5,591000.0,1958618.6790628813,9608915.91888541,32835423.07480618,58912422.751502395,19321866.54757767,14572600.919344641
70,Spain,75564000.0,79313000.0,82326000.0,85981000.0,92563000.0,96152000.0,98907000.0,97670000.0,91899000.0,93744000.0,99187000.0,98128000.0,103231000.0,107144000.0,109834000.0,115561000.0,121717000.0,124456000.0,126170000.0,36410000.0,33674447.76670385,37494145.45529676,36735724.758942164,40457915.99240505,43427370.37852369,45526551.20309956
71,Estonia,3230000.0,3253000.0,3378000.0,85981000.0,92563000.0,96152000.0,98907000.0,3828000.0,3834000.0,4369000.0,4907000.0,5007000.0,5737000.0,5804000.0,5696000.0,5942000.0,6145000.0,6033000.0,6103000.0,1695000.0,1741417.099919552,1783241.5589333382,1790609.1589250371,1841114.3146663278,1845488.3955170761,1838417.5538005433
72,Ethiopia,148000.0,156000.0,180000.0,184000.0,227000.0,330000.0,358000.0,383000.0,427000.0,468000.0,523000.0,597000.0,681000.0,770000.0,864000.0,871000.0,933000.0,849000.0,812000.0,518000.0,503186.18890389183,495157.2421633302,485761.7580437027,476592.1845393318,468192.9027631266,460451.0096283883
